VARIABLES = "X"
 "Y"
 "rho_N2"
 "rho_O2"
 "rho_NO"
 "rho_N"
 "rho_O"
 "rho_NOp"
 "rho_N2p"
 "rho_O2p"
 "rho_Np"
 "rho_Op"
 "rho_e"
 "U"
 "V"
 "T"
 "Tv"
 "rho"
 "P"
 "H"
 "tau"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
       1.27102102102102                     0.3      0.0299074976172997     0.00916417981295536     7.2089527156518E-08    1.28159362205594E-16     8.8575569384154E-08                       0                       0                       0                       0                       0                       0        3429.95279551138       -3429.75724207918        323.287829429621        328.075275320462       0.039071834935361         3640.6877779541        12090258.7457528        5.36567613818193 
       1.27202202202202                     0.3      0.0299075558718325     0.00916419701613172     7.2509767215624E-08    1.28163275749533E-16    8.90905171373176E-08                       0                       0                       0                       0                       0                       0        3429.95243744432       -3429.75557755122        323.290231866046        328.122370816379      0.0390719114267374        3640.72198787459        12090254.7818536        5.35264220610647 
       1.27302302302302                     0.3      0.0299076141263653     0.00916421421930807      7.293000727473E-08    1.28167189293471E-16    8.96054648904813E-08                       0                       0                       0                       0                       0                       0        3429.95207937726       -3429.75391302326        323.292634302471        328.169466312296      0.0390719879181138        3640.75619779508        12090250.8179545        5.33960827403101 
       1.27402402402402                     0.3      0.0299076723808981     0.00916423142248442     7.3350247333836E-08    1.28171102837409E-16    9.01204126436449E-08                       0                       0                       0                       0                       0                       0         3429.9517213102       -3429.75224849531        323.295036738896        328.216561808213      0.0390720644094903        3640.79040771557        12090246.8540554        5.32657434195555 
       1.27502502502503                     0.3      0.0299077306354309     0.00916424862566078    7.37704873929421E-08    1.28175016381347E-16    9.06353603968086E-08                       0                       0                       0                       0                       0                       0        3429.95136324314       -3429.75058396735         323.29743917532         328.26365730413      0.0390721409008667        3640.82461763606        12090242.8901563        5.31354040988009 
       1.27602602602603                     0.3      0.0299077888899637     0.00916426582883713    7.41907274520482E-08    1.28178929925286E-16    9.11503081499723E-08                       0                       0                       0                       0                       0                       0        3429.95100517608        -3429.7489194394        323.299841611745        328.310752800047      0.0390722173922431        3640.85882755655        12090238.9262571        5.30050647780463 
       1.27702702702703                     0.3      0.0299078471444965     0.00916428303201349    7.46109675111541E-08    1.28182843469224E-16    9.16652559031359E-08                       0                       0                       0                       0                       0                       0        3429.95064710902       -3429.74725491144         323.30224404817        328.357848295964      0.0390722938836195        3640.89303747704         12090234.962358        5.28747254572917 
       1.27802802802803                     0.3      0.0299079053990293     0.00916430023518984    7.50312075702602E-08    1.28186757013162E-16    9.21802036562996E-08                       0                       0                       0                       0                       0                       0        3429.95028904196       -3429.74559038348        323.304646484595        328.404943791881      0.0390723703749959        3640.92724739753        12090230.9984589        5.27443861365371 
       1.27902902902903                     0.3      0.0299079636535621     0.00916431743836619    7.54514476293662E-08      1.281906705571E-16    9.26951514094632E-08                       0                       0                       0                       0                       0                       0         3429.9499309749       -3429.74392585553         323.30704892102        328.452039287798      0.0390724468663723        3640.96145731802        12090227.0345597        5.26140468157825 
       1.28003003003003                     0.3      0.0299080219080949     0.00916433464154255    7.58716876884722E-08    1.28194584101039E-16     9.3210099162627E-08                       0                       0                       0                       0                       0                       0        3429.94957290784       -3429.74226132757        323.309451357445        328.499134783715      0.0390725233577487        3640.99566723851        12090223.0706606        5.24837074950279 
       1.28103103103103                     0.3      0.0299080801626277      0.0091643518447189    7.62919277475783E-08    1.28198497644977E-16    9.37250469157907E-08                       0                       0                       0                       0                       0                       0        3429.94921484078       -3429.74059679962        323.311853793869        328.546230279632      0.0390725998491251          3641.029877159        12090219.1067615        5.23533681742733 
       1.28203203203203                     0.3      0.0299081384171605     0.00916436904789526    7.67121678066843E-08    1.28202411188915E-16    9.42399946689543E-08                       0                       0                       0                       0                       0                       0        3429.94885677372       -3429.73893227166        323.314256230294        328.593325775549      0.0390726763405015        3641.06408707949        12090215.1428623        5.22230288535188 
       1.28303303303303                     0.3      0.0299081966716933     0.00916438625107161    7.71324078657903E-08    1.28206324732853E-16     9.4754942422118E-08                       0                       0                       0                       0                       0                       0        3429.94849870666        -3429.7372677437        323.316658666719        328.640421271466      0.0390727528318779        3641.09829699998        12090211.1789632        5.20926895327641 
       1.28403403403403                     0.3      0.0299082549262261     0.00916440345424796    7.75526479248963E-08    1.28210238276792E-16    9.52698901752816E-08                       0                       0                       0                       0                       0                       0         3429.9481406396       -3429.73560321575        323.319061103144        328.687516767383      0.0390728293232543        3641.13250692047        12090207.2150641        5.19623502120096 
       1.28503503503504                     0.3      0.0299083131807589     0.00916442065742432    7.79728879840023E-08     1.2821415182073E-16    9.57848379284453E-08                       0                       0                       0                       0                       0                       0        3429.94778257254       -3429.73393868779        323.321463539569          328.7346122633      0.0390729058146307        3641.16671684096        12090203.2511649         5.1832010891255 
       1.28603603603604                     0.3       0.029908871463342     0.00916458048639905     8.4939904503181E-08    1.64019912665984E-16    1.04308319712629E-07                       0                       0                       0                       0                       0                       0        3429.94395598314       -3429.71341010755        323.358822885172        329.062366006139      0.0390736393830775        3641.65766685407        12090164.2332742        5.16607746735505 
       1.28703703703704                     0.3       0.029909464050009     0.00916475010011956    9.23560581632841E-08    2.02281834865577E-16    1.13381221520487E-07                       0                       0                       0                       0                       0                       0        3429.93989143813       -3429.69158737185        323.398580425725         329.40937411689      0.0390744180298493        3642.17995121021        12090122.8105283        5.14867327520802 
       1.28803803803804                     0.3      0.0299101172640017     0.00916493665549134    1.00758331707984E-07    3.57613515294788E-16    1.23721218816344E-07                       0                       0                       0                       0                       0                       0         3429.9353517186       -3429.66711658113        323.443675570948        329.778679365368      0.0390752765627155        3642.77036277461        12090077.1046012        5.13078534709638 
       1.28903903903904                     0.3      0.0299110914214225     0.00916521289503737    1.14380837106665E-07    1.13267844580334E-15    1.40768851088235E-07                       0                       0                       0                       0                       0                       0        3429.92829656332       -3429.62862775737        323.517026442839        330.266019175803      0.0390765579893299        3643.72141996457        12090008.7247588        5.11033666148382 
       1.29004004004004                     0.3      0.0299120655788433      0.0091654891345834    1.28003342505349E-07    1.90774337631206E-15     1.5781648336013E-07                       0                       0                       0                       0                       0                       0        3429.92124140805       -3429.59013893361         323.59037731473        330.753358986239      0.0390778394159444        3644.67247715454        12089940.3449164        5.08988797587125 
       1.29104104104104                     0.3      0.0299127073624684     0.00916567153562517    1.36732359253888E-07     2.3867001863547E-15    1.68737268873715E-07                       0                       0                       0                       0                       0                       0        3429.91665634164       -3429.56519122575        323.637474248084        331.088963742905      0.0390786836489323        3645.28500829576        12089895.3655422        5.07032027810033 
       1.29204204204204                     0.3       0.029912811619131     0.00916570217763295    1.37547448598803E-07    2.38678019979479E-15    1.69749495499164E-07                       0                       0                       0                       0                       0                       0        3429.91606599257       -3429.56214270186        323.642112359422        331.179177064961      0.0390788208365237        3645.35006282766        12089888.2302543        5.05217734583327 
       1.29304304304304                     0.3      0.0299129158757936     0.00916573281964073    1.38362537943719E-07    2.38686021323489E-15    1.70761722124612E-07                       0                       0                       0                       0                       0                       0         3429.9154756435       -3429.55909417798        323.646750470759        331.269390387017      0.0390789580241152        3645.41511735955        12089881.0949664        5.03403441356621 
       1.29404404404404                     0.3      0.0299130201324562     0.00916576346164851    1.39177627288634E-07    2.38694022667498E-15     1.7177394875006E-07                       0                       0                       0                       0                       0                       0        3429.91488529443        -3429.5560456541        323.651388582097        331.359603709073      0.0390790952117066        3645.48017189144        12089873.9596785        5.01589148129915 
       1.29504504504505                     0.3      0.0299131243891188     0.00916579410365629     1.3999271663355E-07    2.38702024011508E-15    1.72786175375509E-07                       0                       0                       0                       0                       0                       0        3429.91429494536       -3429.55299713021        323.656026693434        331.449817031129      0.0390792323992981        3645.54522642334        12089866.8243906        4.99774854903209 
       1.29604604604605                     0.3      0.0299132286457815     0.00916582474566407    1.40807805978465E-07    2.38710025355517E-15    1.73798402000957E-07                       0                       0                       0                       0                       0                       0        3429.91370459629       -3429.54994860633        323.660664804771        331.540030353185      0.0390793695868895        3645.61028095523        12089859.6891027        4.97960561676502 
       1.29704704704705                     0.3      0.0299133329024441     0.00916585538767185    1.41622895323381E-07    2.38718026699527E-15    1.74810628626406E-07                       0                       0                       0                       0                       0                       0        3429.91311424722       -3429.54690008245        323.665302916109        331.630243675241       0.039079506774481        3645.67533548712        12089852.5538148        4.96146268449796 
       1.29804804804805                     0.3      0.0299134371591067     0.00916588602967963    1.42437984668296E-07    2.38726028043536E-15    1.75822855251854E-07                       0                       0                       0                       0                       0                       0        3429.91252389815       -3429.54385155856        323.669941027446        331.720456997297      0.0390796439620725        3645.74039001902        12089845.4185269         4.9433197522309 
       1.29904904904905                     0.3      0.0299135414157693     0.00916591667168741    1.43253074013212E-07    2.38734029387546E-15    1.76835081877302E-07                       0                       0                       0                       0                       0                       0        3429.91193354908       -3429.54080303468        323.674579138784        331.810670319353      0.0390797811496639        3645.80544455091         12089838.283239        4.92517681996384 
       1.30005005005005                     0.3      0.0299136456724319     0.00916594731369519    1.44068163358127E-07    2.38742030731555E-15    1.77847308502751E-07                       0                       0                       0                       0                       0                       0        3429.91134320001       -3429.53775451079        323.679217250121        331.900883641409      0.0390799183372554         3645.8704990828        12089831.1479511        4.90703388769678 
       1.30105105105105                     0.3      0.0299137499290945     0.00916597795570297    1.44883252703043E-07    2.38750032075565E-15    1.78859535128199E-07                       0                       0                       0                       0                       0                       0        3429.91075285094       -3429.53470598691        323.683855361458        331.991096963465      0.0390800555248468         3645.9355536147        12089824.0126632        4.88889095542972 
       1.30205205205205                     0.3      0.0299138541857571     0.00916600859771074    1.45698342047958E-07    2.38758033419574E-15    1.79871761753648E-07                       0                       0                       0                       0                       0                       0        3429.91016250187       -3429.53165746303        323.688493472796        332.081310285521      0.0390801927124383        3646.00060814659        12089816.8773753        4.87074802316266 
       1.30305305305305                     0.3      0.0299139584424198     0.00916603923971852    1.46513431392874E-07    2.38766034763584E-15    1.80883988379096E-07                       0                       0                       0                       0                       0                       0         3429.9095721528       -3429.52860893914        323.693131584133        332.171523607577      0.0390803299000297        3646.06566267848        12089809.7420874         4.8526050908956 
       1.30405405405405                     0.3      0.0299140626990824      0.0091660698817263    1.47328520737789E-07    2.38774036107593E-15    1.81896215004544E-07                       0                       0                       0                       0                       0                       0        3429.90898180374       -3429.52556041526         323.69776969547        332.261736929633      0.0390804670876212        3646.13071721038        12089802.6067995        4.83446215862854 
       1.30505505505506                     0.3       0.029914166955745     0.00916610052373408    1.48143610082705E-07    2.38782037451603E-15    1.82908441629993E-07                       0                       0                       0                       0                       0                       0        3429.90839145467       -3429.52251189138        323.702407806808        332.351950251689      0.0390806042752126        3646.19577174227        12089795.4715116        4.81631922636148 
       1.30605605605606                     0.3      0.0299142712124076     0.00916613116574186     1.4895869942762E-07    2.38790038795612E-15    1.83920668255441E-07                       0                       0                       0                       0                       0                       0         3429.9078011056       -3429.51946336749        323.707045918145        332.442163573745      0.0390807414628041        3646.26082627416        12089788.3362237        4.79817629409441 
       1.30705705705706                     0.3      0.0299143754690702     0.00916616180774964    1.49773788772536E-07    2.38798040139622E-15     1.8493289488089E-07                       0                       0                       0                       0                       0                       0        3429.90721075653       -3429.51641484361        323.711684029483        332.532376895801      0.0390808786503955        3646.32588080606        12089781.2009358        4.78003336182736 
       1.30805805805806                     0.3      0.0299144797257328     0.00916619244975742    1.50588878117451E-07    2.38806041483631E-15    1.85945121506338E-07                       0                       0                       0                       0                       0                       0        3429.90662040746       -3429.51336631973         323.71632214082        332.622590217857       0.039081015837987        3646.39093533795        12089774.0656479         4.7618904295603 
       1.30905905905906                     0.3      0.0299145839823954      0.0091662230917652    1.51403967462367E-07    2.38814042827641E-15    1.86957348131786E-07                       0                       0                       0                       0                       0                       0        3429.90603005839       -3429.51031779584        323.720960252157        332.712803539913      0.0390811530255785        3646.45598986984          12089766.93036        4.74374749729324 
       1.31006006006006                     0.3       0.029914688239058     0.00916625373377298    1.52219056807282E-07     2.3882204417165E-15    1.87969574757235E-07                       0                       0                       0                       0                       0                       0        3429.90543970932       -3429.50726927196        323.725598363495        332.803016861969      0.0390812902131699        3646.52104440174        12089759.7950721        4.72560456502617 
       1.31106106106106                     0.3      0.0299154092228168     0.00916645849524803    1.62114125032339E-07    2.93773577059172E-15    2.00350304130854E-07                       0                       0                       0                       0                       0                       0        3429.90026605449       -3429.47909490122        323.778951251646        333.174778008511      0.0390822386234248        3647.21424167447        12089709.2396861        4.70582693989116 
       1.31206206206206                     0.3      0.0299163833802376     0.00916673473479406     1.7573663043102E-07    3.71280070110028E-15    2.17397936402745E-07                       0                       0                       0                       0                       0                       0        3429.89321089921       -3429.44060607745        323.852302123537        333.662117818947      0.0390835200500393        3648.16529886443        12089640.8598437        4.68537825427859 
       1.31306306306306                     0.3      0.0299173575376584     0.00916701097434009    1.89359135829703E-07      4.487865631609E-15     2.3444556867464E-07                       0                       0                       0                       0                       0                       0        3429.88615574394       -3429.40211725369        323.925652995429        334.149457629382      0.0390848014766538         3649.1163560544        12089572.4800013        4.66492956866602 
       1.31406406406406                     0.3      0.0299188985246648     0.00916744334720039    2.13365805836516E-07    8.84106180183807E-15    2.64891815499943E-07                       0                       0                       0                       0                       0                       0        3429.87422056765       -3429.33671162436        324.056520399609        334.775614680515      0.0390868291790399        3650.79424716276        12089463.2736062        4.64303803806328 
       1.31506506506507                     0.3      0.0299204807664199     0.00916788708368889    2.38128251677006E-07    1.34546799918197E-14    2.96313234567437E-07                       0                       0                       0                       0                       0                       0        3429.86193021576       -3429.26934694759        324.191573947478        335.411875068774      0.0390889111965506        3652.52503838696        12089351.0957903        4.62104149493266 
       1.31606606606607                     0.3      0.0299218459552775     0.00916827028765659    2.59286883032287E-07    1.73521922229351E-14    3.23159422316143E-07                       0                       0                       0                       0                       0                       0         3429.8513689504       -3429.21155909669        324.307046078708        335.973684461562      0.0390907074281281        3654.00624926651        12089254.3625177        4.59917145157862 
       1.31706706706707                     0.3      0.0299220299471792      0.0091683240750163    2.60833637532981E-07    1.73526720352725E-14    3.25107304790361E-07                       0                       0                       0                       0                       0                       0        3429.85021733475       -3429.20588811542        324.315956583828        336.130333222219      0.0390909484191262        3654.12924955982        12089241.6781004        4.57798981714535 
       1.31806806806807                     0.3      0.0299222139390809     0.00916837786237601    2.62380392033676E-07    1.73531518476099E-14     3.2705518726458E-07                       0                       0                       0                       0                       0                       0         3429.8490657191       -3429.20021713416        324.324867088948        336.286981982877      0.0390911894101243        3654.25224985314         12089228.993683        4.55680818271208 
       1.31906906906907                     0.3      0.0299223979309826     0.00916843164973573    2.63927146534371E-07    1.73536316599473E-14    3.29003069738799E-07                       0                       0                       0                       0                       0                       0        3429.84791410345       -3429.19454615289        324.333777594068        336.443630743534      0.0390914304011223        3654.37525014646        12089216.3092657        4.53562654827881 
       1.32007007007007                     0.3      0.0299225819228843     0.00916848543709544    2.65473901035066E-07    1.73541114722846E-14    3.30950952213018E-07                       0                       0                       0                       0                       0                       0         3429.8467624878       -3429.18887517163        324.342688099188        336.600279504192      0.0390916713921204        3654.49825043978        12089203.6248483        4.51444491384554 
       1.32107107107107                     0.3      0.0299227659147861     0.00916853922445515    2.67020655535761E-07     1.7354591284622E-14    3.32898834687236E-07                       0                       0                       0                       0                       0                       0        3429.84561087215       -3429.18320419036        324.351598604308        336.756928264849      0.0390919123831185         3654.6212507331         12089190.940431        4.49326327941227 
       1.32207207207207                     0.3      0.0299229499066878     0.00916859301181486    2.68567410036456E-07    1.73550710969594E-14    3.34846717161455E-07                       0                       0                       0                       0                       0                       0         3429.8444592565        -3429.1775332091        324.360509109428        336.913577025507      0.0390921533741166        3654.74425102642        12089178.2560136          4.472081644979 
       1.32307307307307                     0.3      0.0299231338985895     0.00916864679917458    2.70114164537151E-07    1.73555509092968E-14    3.36794599635674E-07                       0                       0                       0                       0                       0                       0        3429.84330764085       -3429.17186222783        324.369419614547        337.070225786164      0.0390923943651146        3654.86725131974        12089165.5715963        4.45090001054573 
       1.32407407407407                     0.3      0.0299233178904912     0.00916870058653429    2.71660919037845E-07    1.73560307216342E-14    3.38742482109892E-07                       0                       0                       0                       0                       0                       0         3429.8421560252       -3429.16619124656        324.378330119667        337.226874546821      0.0390926353561127        3654.99025161306        12089152.8871789        4.42971837611246 
       1.32507507507508                     0.3      0.0299235018823929       0.009168754373894     2.7320767353854E-07    1.73565105339716E-14    3.40690364584111E-07                       0                       0                       0                       0                       0                       0        3429.84100440955        -3429.1605202653        324.387240624787        337.383523307479      0.0390928763471108        3655.11325190638        12089140.2027616        4.40853674167919 
       1.32607607607608                     0.3      0.0299236858742947     0.00916880816125371    2.74754428039235E-07     1.7356990346309E-14     3.4263824705833E-07                       0                       0                       0                       0                       0                       0         3429.8398527939       -3429.15484928403        324.396151129907        337.540172068136      0.0390931173381089         3655.2362521997        12089127.5183443        4.38735510724592 
       1.32707707707708                     0.3      0.0299238698661964     0.00916886194861343     2.7630118253993E-07    1.73574701586464E-14    3.44586129532549E-07                       0                       0                       0                       0                       0                       0        3429.83870117825       -3429.14917830277        324.405061635027        337.696820828794       0.039093358329107        3655.35925249302        12089114.8339269        4.36617347281265 
       1.32807807807808                     0.3      0.0299240538580981     0.00916891573597314    2.77847937040625E-07    1.73579499709838E-14    3.46534012006767E-07                       0                       0                       0                       0                       0                       0         3429.8375495626        -3429.1435073215        324.413972140147        337.853469589451      0.0390935993201051        3655.48225278634        12089102.1495096        4.34499183837938 
       1.32907907907908                     0.3      0.0299242378499998     0.00916896952333285     2.7939469154132E-07    1.73584297833211E-14    3.48481894480986E-07                       0                       0                       0                       0                       0                       0        3429.83639794696       -3429.13783634024        324.422882645267        338.010118350109      0.0390938403111031        3655.60525307965        12089089.4650922        4.32381020394611 
       1.33008008008008                     0.3      0.0299244218419015     0.00916902331069256    2.80941446042015E-07    1.73589095956585E-14    3.50429776955205E-07                       0                       0                       0                       0                       0                       0         3429.8352463313       -3429.13216535897        324.431793150387        338.166767110766      0.0390940813021012        3655.72825337297        12089076.7806749        4.30262856951284 
       1.33108108108108                     0.3      0.0299246058338033     0.00916907709805227     2.8248820054271E-07    1.73593894079959E-14    3.52377659429424E-07                       0                       0                       0                       0                       0                       0        3429.83409471566       -3429.12649437771        324.440703655507        338.323415871424      0.0390943222930993        3655.85125366629        12089064.0962575        4.28144693507957 
       1.33208208208208                     0.3       0.029924789825705     0.00916913088541199    2.84034955043404E-07    1.73598692203333E-14    3.54325541903642E-07                       0                       0                       0                       0                       0                       0        3429.83294310001       -3429.12082339644        324.449614160626        338.480064632081      0.0390945632840974        3655.97425395961        12089051.4118402         4.2602653006463 
       1.33308308308308                     0.3      0.0299249738176067      0.0091691846727717      2.855817095441E-07    1.73603490326707E-14    3.56273424377861E-07                       0                       0                       0                       0                       0                       0        3429.83179148436       -3429.11515241517        324.458524665746        338.636713392739      0.0390948042750954        3656.09725425293        12089038.7274228        4.23908366621303 
       1.33408408408408                     0.3      0.0299251578095084     0.00916923846013141    2.87128464044794E-07    1.73608288450081E-14     3.5822130685208E-07                       0                       0                       0                       0                       0                       0        3429.83063986871       -3429.10948143391        324.467435170866        338.793362153396      0.0390950452660935        3656.22025454625        12089026.0430055        4.21790203177976 
       1.33508508508509                     0.3      0.0299253418014101     0.00916929224749112    2.88675218545489E-07    1.73613086573455E-14    3.60169189326298E-07                       0                       0                       0                       0                       0                       0        3429.82948825306       -3429.10381045264        324.476345675986        338.950010914054      0.0390952862570916        3656.34325483957        12089013.3585881        4.19672039734649 
       1.33608608608609                     0.3      0.0299261987376151     0.00916953370806542    3.01395131545143E-07    1.95819819378265E-14    3.76301981957255E-07                       0                       0                       0                       0                       0                       0        3429.82297582934       -3429.06844776725        324.545965818805        339.337485311334      0.0390964132902379        3657.24004655874        12088952.7903712        4.17514656679446 
       1.33708708708709                     0.3      0.0299277809793703     0.00916997744455391    3.26157577385627E-07    2.41956001278071E-14    4.07723401024743E-07                       0                       0                       0                       0                       0                       0        3429.81068547745       -3429.00108309048        324.681019366674        339.973745699593      0.0390984953077485        3658.97083778293        12088840.6125553        4.15315002366385 
