VARIABLES = "X"
 "Y"
 "rho_N2"
 "rho_O2"
 "rho_NO"
 "rho_N"
 "rho_O"
 "U"
 "V"
 "T"
 "Tv"
 "tke"
 "omega"
 "rho"
 "P"
 "H"
 "tau"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
       1.52777777777778                     0.3      0.0308074538413244     0.00939506834771724    2.76325890891054E-05    2.08683461709567E-09    3.42607229430373E-05        3422.24119290194       -3384.57885542454         425.09750571408         536.50448363122      0.0403178166464867        8568.23383342816      0.0402644179502368        5041.61684841358        12036375.0291247        0.57474406508463 
       1.52852852852853                     0.3      0.0308126542515206     0.00939646476492658    2.77555767975118E-05    2.08686066382364E-09    3.44100847901794E-05        3422.19401336565       -3384.31366288021        425.689312207892        537.692229364765      0.0403108957244718        8566.76302227173      0.0402712871500192        5049.10453115932        12036010.5348344       0.558095029784934 
       1.52927927927928                     0.3      0.0308178546617167     0.00939786118213591    2.78785645059181E-05    2.08688671055161E-09    3.45594466373215E-05        3422.14683382935       -3384.04847033589        426.281118701705        538.879975098309      0.0403039748024569        8565.29221111529      0.0402781563498017        5056.59221390507        12035646.0405441       0.541445994485243 
       1.53003003003003                     0.3      0.0308230550719129     0.00939925759934525    2.80015522143244E-05    2.08691275727959E-09    3.47088084844636E-05        3422.09965429306       -3383.78327779157        426.872925195517        540.067720831854      0.0402970538804421        8563.82139995886      0.0402850255495842        5064.07989665081        12035281.5462538       0.524796959185552 
       1.53078078078078                     0.3       0.030828255482109     0.00940065401655458    2.81245399227307E-05    2.08693880400756E-09    3.48581703316057E-05        3422.05247475676       -3383.51808524724        427.464731689329        541.255466565398      0.0402901329584272        8562.35058880242      0.0402918947493667        5071.56757939655        12034917.0519635        0.50814792388586 
       1.53153153153153                     0.3      0.0308334558923052     0.00940205043376392     2.8247527631137E-05    2.08696485073553E-09    3.50075321787478E-05        3422.00529522047       -3383.25289270292        428.056538183142        542.443212298942      0.0402832120364123        8560.87977764599      0.0402987639491491         5079.0552621423        12034552.5576732       0.491498888586169 
       1.53228228228228                     0.3      0.0308386563025014     0.00940344685097325    2.83705153395433E-05     2.0869908974635E-09    3.51568940258899E-05        3421.95811568417        -3382.9877001586        428.648344676954        543.630958032487      0.0402762911143974        8559.40896648955      0.0403056331489316        5086.54294488805        12034188.0633829       0.474849853286473 
       1.53303303303303                     0.3      0.0308438567126975     0.00940484326818258    2.84935030479496E-05    2.08701694419147E-09     3.5306255873032E-05        3421.91093614787       -3382.72250761427        429.240151170767        544.818703766031      0.0402693701923825        8557.93815533312      0.0403125023487141        5094.03062763379        12033823.5690926       0.458200817986782 
       1.53378378378378                     0.3      0.0308490571228937     0.00940623968539192    2.86164907563559E-05    2.08704299091945E-09    3.54556177201741E-05        3421.86375661158       -3382.45731506995        429.831957664579        546.006449499576      0.0402624492703677        8556.46734417668      0.0403193715484965        5101.51831037953        12033459.0748022       0.441551782687091 
       1.53453453453453                     0.3      0.0308542575330898     0.00940763610260125    2.87394784647622E-05    2.08706903764742E-09    3.56049795673162E-05        3421.81657707528       -3382.19212252563        430.423764158391         547.19419523312      0.0402555283483528        8554.99653302025       0.040326240748279        5109.00599312528        12033094.5805119         0.4249027473874 
       1.53528528528529                     0.3       0.030859457943286     0.00940903251981058    2.88624661731685E-05    2.08709508437539E-09    3.57543414144583E-05        3421.76939753899        -3381.9269299813        431.015570652204        548.381940966665      0.0402486074263379        8553.52572186382      0.0403331099480615        5116.49367587102        12032730.0862216       0.408253712087708 
       1.53603603603604                     0.3      0.0308646583534821     0.00941042893701992    2.89854538815748E-05    2.08712113110336E-09    3.59037032616004E-05        3421.72221800269       -3381.66173743698        431.607377146016        549.569686700209       0.040241686504323        8552.05491070738       0.040339979147844        5123.98135861677        12032365.5919313       0.391604676788012 
       1.53678678678679                     0.3      0.0308698587636783     0.00941182535422925    2.91084415899811E-05    2.08714717783133E-09    3.60530651087425E-05         3421.6750384664       -3381.39654489266        432.199183639828        550.757432433754      0.0402347655823082        8550.58409955094      0.0403468483476264        5131.46904136251         12032001.097641       0.374955641488321 
       1.53753753753754                     0.3      0.0308750591738745     0.00941322177143859    2.92314292983874E-05     2.0871732245593E-09    3.62024269558846E-05         3421.6278589301       -3381.13135234833        432.790990133641        551.945178167298      0.0402278446602933        8549.11328839451      0.0403537175474089        5138.95672410826        12031636.6033507        0.35830660618863 
       1.53828828828829                     0.3      0.0309011034346806     0.00941908380809592    3.05670620323634E-05    2.22542101168777E-09    3.78018339528456E-05        3421.41622282939       -3379.78899530331        435.864899016108        554.526457954299      0.0402036974029138        8543.98158078458      0.0403885592862381        5188.08600158033        12030518.2007833       0.348786613476782 
       1.53903903903904                     0.3      0.0309298740372118     0.00942552994050682    3.20613067614454E-05    2.38174797742966E-09    3.95909044946666E-05         3421.1830760778       -3378.30574689527        439.263462850042        557.290009726759      0.0401772969689138        8538.37103387863       0.040427059787634        5242.66193184829        12029301.1882406       0.340199087929034 
       1.53978978978979                     0.3      0.0309586446397431     0.00943197607291773    3.35555514905278E-05    2.53807494317159E-09    4.13799750364882E-05         3420.9499293262       -3376.82249848723        442.662026683977         560.05356149922      0.0401508965349138        8532.76048697268        0.04046556028903        5297.23786211627        12028084.1756978       0.331611562381284 
       1.54054054054054                     0.3      0.0309892116771039     0.00943873193588642    3.51993699972981E-05    2.70339183179841E-09    4.33514237120092E-05        3420.70859916788       -3375.27257632164        446.155824749922        562.985410747229      0.0401236183030022        8526.96339394618      0.0405064988230522        5354.77830430664        12026834.5329226       0.199624974996995 
       1.54129129129129                     0.3      0.0310278570090608     0.00944688061013327    3.75157990658925E-05    2.90913503829892E-09    4.61429991561938E-05        3420.43046947237       -3373.42283239443        450.077876693575        566.674068182693      0.0400923927471976        8520.32743134719      0.0405584008195195        5425.64970637837        12025438.1569475       0.201604859055017 
       1.54204204204204                     0.3      0.0310665023410176     0.00945502928438013     3.9832228134487E-05    3.11487824479942E-09    4.89345746003785E-05        3420.15233977685       -3371.57308846721        453.999928637228        570.362725618157       0.040061167191393         8513.6914687482      0.0406103028159867         5496.5211084501        12024041.7809724        0.20358474311304 
       1.54279279279279                     0.3      0.0311051476729745     0.00946317795862698    4.21486572030814E-05    3.32062145129993E-09    5.17261500445631E-05        3419.87421008134       -3369.72334453999        457.921980580881         574.05138305362      0.0400299416355884        8507.05550614921      0.0406622048124539        5567.39251052183        12022645.4049973       0.205564627171062 
       1.54354354354354                     0.3      0.0311288980903438     0.00946837197777266      4.345521433847E-05    3.42778674180818E-09    5.33013035913296E-05        3419.69565536284       -3368.56484996404        460.411371666123        576.714687212227      0.0400089633594971         8502.5972712603      0.0406940309055984        5609.98593078355        12021674.4166641       0.208477260078457 
       1.54429429429429                     0.3      0.0311364707008606       0.009470356858708    4.36649197272391E-05    3.42788364495077E-09    5.35552653721524E-05        3419.62525196914       -3368.15714173371          461.3447074604        578.264324879426      0.0399991149566919        8500.50433078539      0.0407040519669358        5621.86579943609        12021165.4544181       0.212402979072264 
       1.54504504504505                     0.3      0.0311440433113775     0.00947234173964336    4.38746251160082E-05    3.42798054809336E-09    5.38092271529752E-05        3419.55484857544       -3367.74943350338        462.278043254677        579.813962546625      0.0399892665538867        8498.41139031048      0.0407140730282732        5633.74566808862        12020656.4921721       0.216328698066072 
        1.5457957957958                     0.3      0.0311516159218943      0.0094743266205787    4.40843305047774E-05    3.42807745123594E-09     5.4063188933798E-05        3419.48444518175       -3367.34172527305        463.211379048953        581.363600213824      0.0399794181510814        8496.31844983557      0.0407240940896106        5645.62553674115        12020147.5299261       0.220254417059879 
       1.54654654654655                     0.3      0.0311591885324112     0.00947631150151405    4.42940358935465E-05    3.42817435437853E-09    5.43171507146208E-05        3419.41404178805       -3366.93401704273         464.14471484323        582.913237881023      0.0399695697482762        8494.22550936065      0.0407341151509479        5657.50540539369        12019638.5676801       0.224180136053686 
        1.5472972972973                     0.3       0.031166761142928      0.0094782963824494    4.45037412823156E-05    3.42827125752112E-09    5.45711124954437E-05        3419.34363839435        -3366.5263088124        465.078050637507        584.462875548223       0.039959721345471        8492.13256888575      0.0407441362122854        5669.38527404623        12019129.6054342       0.228105855047495 
       1.54804804804805                     0.3      0.0311743337534449     0.00948028126338475    4.47134466710848E-05     3.4283681606637E-09    5.48250742762665E-05        3419.27323500065       -3366.11860058207        466.011386431783        586.012513215422      0.0399498729426657        8490.03962841083      0.0407541572736227        5681.26514269876        12018620.6431882       0.232031574041302 
        1.5487987987988                     0.3      0.0311819063639617      0.0094822661443201    4.49231520598539E-05    3.42846506380629E-09    5.50790360570892E-05        3419.20283160696       -3365.71089235174         466.94472222606        587.562150882621      0.0399400245398605        8487.94668793592      0.0407641783349601        5693.14501135129        12018111.6809422        0.23595729303511 
       1.54954954954955                     0.3      0.0311894789744785     0.00948425102525545     4.5132857448623E-05    3.42856196694888E-09     5.5332997837912E-05        3419.13242821326       -3365.30318412142        467.878058020337         589.11178854982      0.0399301761370553        8485.85374746101      0.0407741993962975        5705.02488000383        12017602.7186962       0.239883012028917 
        1.5503003003003                     0.3      0.0311970515849954      0.0094862359061908    4.53425628373921E-05    3.42865887009146E-09    5.55869596187348E-05        3419.06202481956       -3364.89547589109        468.811393814613        590.661426217019      0.0399203277342501         8483.7608069861      0.0407842204576349        5716.90474865636        12017093.7564502       0.243808731022724 
       1.55105105105105                     0.3      0.0312046241955122     0.00948822078712615    4.55522682261613E-05    3.42875577323405E-09    5.58409213995577E-05        3418.99162142586       -3364.48776766076         469.74472960889        592.211063884218      0.0399104793314448        8481.66786651119      0.0407942415189723         5728.7846173089        12016584.7942042       0.247734450016533 
        1.5518018018018                     0.3      0.0312121968060291      0.0094902056680615    4.57619736149304E-05    3.42885267637664E-09    5.60948831803805E-05        3418.92121803217       -3364.08005943043        470.678065403167        593.760701551418      0.0399006309286396        8479.57492603628      0.0408042625803097        5740.66448596143        12016075.8319583        0.25166016901034 
       1.55255255255255                     0.3      0.0312197694165459     0.00949219054899685    4.59716790036995E-05    3.42894957951922E-09    5.63488449612032E-05        3418.85081463847       -3363.67235120011        471.611401197444        595.310339218617      0.0398907825258344        8477.48198556136      0.0408142836416471        5752.54435461397        12015566.8697123       0.255585888004147 
        1.5533033033033                     0.3      0.0312273420270627      0.0094941754299322    4.61813843924686E-05    3.42904648266181E-09     5.6602806742026E-05        3418.78041124477       -3363.26464296978         472.54473699172        596.859976885816      0.0398809341230292        8475.38904508645      0.0408243047029845         5764.4242232665        12015057.9074663       0.259511606997955 
       1.55405405405405                     0.3      0.0312349146375796     0.00949616031086755    4.63910897812377E-05     3.4291433858044E-09    5.68567685228488E-05        3418.71000785107       -3362.85693473945        473.478072785997        598.409614553015       0.039871085720224        8473.29610461154      0.0408343257643219        5776.30409191903        12014548.9452203       0.263437325991762 
        1.5548048048048                     0.3      0.0312424872480964      0.0094981451918029    4.66007951700069E-05    3.42924028894698E-09    5.71107303036717E-05        3418.63960445738       -3362.44922650912        474.411408580274        599.959252220214      0.0398612373174187        8471.20316413663      0.0408443468256593        5788.18396057157        12014039.9829743       0.267363044985571 
       1.55555555555556                     0.3      0.0312500598586133     0.00950013007273825     4.6810500558776E-05    3.42933719208957E-09    5.73646920844945E-05        3418.56920106368        -3362.0415182788         475.34474437455        601.508889887413      0.0398513889146135        8469.11022366172      0.0408543678869967         5800.0638292241        12013531.0207284       0.271288763979378 
       1.55630630630631                     0.3      0.0312576324691301      0.0095021149536736    4.70202059475451E-05    3.42943409523216E-09    5.76186538653173E-05        3418.49879766998       -3361.63381004847        476.278080168827        603.058527554613      0.0398415405118083        8467.01728318681      0.0408643889483341        5811.94369787664        12013022.0584824       0.275214482973185 
       1.55705705705706                     0.3       0.031265205079647     0.00950409983460895    4.72299113363142E-05    3.42953099837474E-09      5.787261564614E-05        3418.42839427628       -3361.22610181814        477.211415963104        604.608165221812      0.0398316921090031        8464.92434271189      0.0408744100096715        5823.82356652917        12012513.0962364       0.279140201966993 
       1.55780780780781                     0.3      0.0312727776901638      0.0095060847155443    4.74396167250833E-05    3.42962790151733E-09    5.81265774269628E-05        3418.35799088258       -3360.81839358782         478.14475175738        606.157802889011      0.0398218437061978        8462.83140223698      0.0408844310710089        5835.70343518171        12012004.1339904         0.2830659209608 
       1.55855855855856                     0.3      0.0312803503006806     0.00950806959647964    4.76493221138525E-05    3.42972480465992E-09    5.83805392077857E-05        3418.28758748889       -3360.41068535749        479.078087551657         607.70744055621      0.0398119953033926        8460.73846176207      0.0408944521323463        5847.58330383424        12011495.1717444       0.286991639954609 
       1.55930930930931                     0.3      0.0312879229111975       0.009510054477415    4.78590275026216E-05     3.4298217078025E-09    5.86345009886085E-05        3418.21718409519       -3360.00297712716        480.011423345934         609.25707822341      0.0398021469005874        8458.64552128716      0.0409044731936837        5859.46317248678        12010986.2094984       0.290917358948416 
       1.56006006006006                     0.3      0.0312954955217143     0.00951203935835035    4.80687328913907E-05    3.42991861094509E-09    5.88884627694313E-05        3418.14678070149       -3359.59526889683        480.944759140211        610.806715890609      0.0397922984977821        8456.55258081225      0.0409144942550211        5871.34304113931        12010477.2472525       0.294843077942223 
       1.56081081081081                     0.3      0.0313030681322312     0.00951402423928569    4.82784382801598E-05    3.43001551408768E-09    5.91424245502541E-05        3418.07637730779       -3359.18756066651        481.878094934487        612.356353557808      0.0397824500949769        8454.45964033734      0.0409245153163585        5883.22290979185        12009968.2850065       0.298768796936031 
       1.56156156156156                     0.3       0.031310640742748     0.00951600912022104     4.8488143668929E-05    3.43011241723026E-09    5.93963863310768E-05         3418.0059739141       -3358.77985243618        482.811430728764        613.905991225007      0.0397726016921717        8452.36669986242      0.0409345363776959        5895.10277844438        12009459.3227605       0.302694515929838 
       1.56231231231231                     0.3      0.0313182133532648     0.00951799400115639    4.86978490576981E-05    3.43020932037285E-09    5.96503481118997E-05         3417.9355705204       -3358.37214420585        483.744766523041        615.455628892207      0.0397627532893665        8450.27375938751      0.0409445574390333        5906.98264709692        12008950.3605145       0.306620234923646 
       1.56306306306306                     0.3      0.0313334738426818     0.00952150390128376    4.94287909451025E-05    3.48118634611815E-09     6.0532155335125E-05        3417.81377237984       -3357.60765371464         485.41755759379        617.534493617134      0.0397476158434433        8447.05680394668       0.040964940500948        5933.45794685558         12008221.838186       0.310064523818878 
       1.56381381381381                     0.3      0.0313721191746387     0.00952965257553061     5.1745220013697E-05    3.68692955261866E-09    6.33237307793096E-05        3417.53564268432       -3355.75790978742        489.339609537443        621.223151052598      0.0397163902876387        8440.42084134769      0.0410168424974153        6004.32934892731        12006825.4622109         0.3120444078769 
       1.56456456456456                     0.3      0.0314107645065955     0.00953780124977746    5.40616490822914E-05    3.89267275911917E-09    6.61153062234943E-05        3417.25751298881        -3353.9081658602        493.261661481096        624.911808488062       0.039685164731834         8433.7848787487      0.0410687444938825        6075.20075099904        12005429.0862358       0.314024291934923 
       1.56531531531532                     0.3      0.0314494098385524     0.00954594992402432    5.63780781508859E-05    4.09841596561967E-09    6.89068816676789E-05         3416.9793832933       -3352.05842193298        497.183713424749        628.600465923526      0.0396539391760294        8427.14891614971      0.0411206464903498        6146.07215307077        12004032.7102607       0.316004175992945 
