VARIABLES = "X"
 "Y"
 "rho_N2"
 "rho_O2"
 "rho_NO"
 "rho_N"
 "rho_O"
 "rho_NOp"
 "rho_N2p"
 "rho_O2p"
 "rho_Np"
 "rho_Op"
 "rho_e"
 "U"
 "V"
 "T"
 "Tv"
 "rho"
 "P"
 "H"
 "tau"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                      0                     0.3       0.029899999499321     0.00916200038045645    2.18347865468257E-20     5.1722706195221E-21     1.1645216154771E-20                       0                       0                       0                       0                       0                       0                    3430                    -605        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6391335        3.05904698371887 
     0.0022022022022022                     0.3       0.029899999499321     0.00916200038045645    2.67061439070161E-20    5.42569589216457E-21    1.42432740334588E-20                       0                       0                       0                       0                       0                       0                    3430                    -605        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6391335        3.32581795718798 
     0.0044044044044044                     0.3       0.029899999499321     0.00916200038045645    3.14572716830705E-20    5.86609528985943E-21    1.67772092663088E-20                       0                       0                       0                       0                       0                       0                    3430                    -605        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6391335        3.59258893065708 
    0.00660660660660661                     0.3       0.029899999499321     0.00916200038045645    3.61656695154074E-20    6.37294583514418E-21    1.92883551244192E-20                       0                       0                       0                       0                       0                       0                    3430                    -605        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6391335        3.85935990412619 
    0.00880880880880881                     0.3       0.029899999499321     0.00916200038045645    4.08740673477444E-20    6.87979638042893E-21    2.17995009825296E-20                       0                       0                       0                       0                       0                       0                    3430                    -605        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6391335        4.12613087759529 
      0.011011011011011                     0.3       0.029899999499321     0.00916200038045645    4.55824651800814E-20    7.38664692571368E-21      2.431064684064E-20                       0                       0                       0                       0                       0                       0                    3430                    -605        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6391335        4.39290185106439 
     0.0132132132132132                     0.3       0.029899999499321     0.00916200038045645    5.02908630124184E-20    7.89349747099844E-21    2.68217926987504E-20                       0                       0                       0                       0                       0                       0                    3430                    -605        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6391335         4.6596728245335 
     0.0154154154154154                     0.3       0.029899999499321     0.00916200038045645    5.49992608447554E-20    8.40034801628319E-21    2.93329385568608E-20                       0                       0                       0                       0                       0                       0                    3430                    -605        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6391335         4.9264437980026 
     0.0176176176176176                     0.3       0.029899999499321     0.00916200038045645    5.97076586770924E-20    8.90719856156794E-21    3.18440844149712E-20                       0                       0                       0                       0                       0                       0                    3430                    -605        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6391335        5.19321477147171 
     0.0198198198198198                     0.3       0.029899999499321     0.00916200038045645    6.44160565094294E-20    9.41404910685269E-21    3.43552302730816E-20                       0                       0                       0                       0                       0                       0                    3430                    -605        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6391335        5.45998574494081 
