VARIABLES = "X"
 "Y"
 "rho_N2"
 "rho_O2"
 "rho_NO"
 "rho_N"
 "rho_O"
 "rho_NOp"
 "rho_N2p"
 "rho_O2p"
 "rho_Np"
 "rho_Op"
 "rho_e"
 "U"
 "V"
 "T"
 "Tv"
 "rho"
 "P"
 "H"
 "tau"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                      2      0.0119119119119119      0.0863531582097313      0.0264604552595366    1.20798687920932E-11    2.34214765021472E-26    1.06372654574481E-09                       0                       0                       0                       0                       0                       0        3344.89278446672        3.97700762633755        745.041190004144        588.751422229196       0.112813605734461        24223.6949200604        6351414.62398652     0.00767358452636269 
                      2      0.0122622622622623      0.0867937861518512      0.0265954745291419     1.1204865978953E-11     3.6245553519347E-26    9.88907683900705E-10                       0                       0                       0                       0                       0                       0        3347.34909421968          3.988705006925        741.218179537764        579.913773507188       0.113389262253628        24223.6031789455        6355360.46176009     0.00785759534108823 
                      2      0.0126126126126126      0.0871566447875204      0.0267066621950356     1.0498834541712E-11    1.94163806547437E-25    9.28295076020755E-10                       0                       0                       0                       0                       0                       0        3349.32851570997        3.99865629510992        738.142233989597         572.43092168785       0.113863311613835        24223.5548622152        6358573.82140689     0.00799452007965651 
                      2       0.012962962962963      0.0874971170544402      0.0268109889728209    9.84346692442444E-12    1.99916892586742E-25    8.71933331245637E-10                       0                       0                       0                       0                       0                       0        3351.16808188453        4.00813705130403        735.282580995066         565.33503798062       0.114308121215539        24223.5200713655        6361570.43951905     0.00816652350502206 
                      2      0.0133133133133133        0.08783758932136      0.0269153157506061    9.18809930713685E-12    2.05669978626047E-25    8.15571586470518E-10                       0                       0                       0                       0                       0                       0        3353.00764805909        4.01761780749813        732.422928000536         558.23915427339       0.114752930817243        24223.4852805159        6364567.05763121     0.00833852693038761 
                      2      0.0136636636636637      0.0881725023287614      0.0270179399196708    8.54289266693023E-12    3.90083072464457E-25    7.60075631621936E-10                       0                       0                       0                       0                       0                       0        3354.81667645573         4.0269503278408        729.612592236782        551.247744934373       0.115190472088514        24223.4528425882        6367516.42539499     0.00847289294784592 
                      2       0.014014014014014      0.0884333026752833      0.0270978549460256    8.05400306391041E-12     6.5644216267335E-25    7.17770552409634E-10                       0                       0                       0                       0                       0                       0        3356.18944022115        4.03463098816625        727.478773686818        545.606700892531       0.115531182929331        24223.4597609562        6369775.71275215     0.00858626160181478 
                      2      0.0143643643643644      0.0886930040673384      0.0271774337549587    7.56837914299691E-12    6.63442369845684E-25    6.75734003853756E-10                       0                       0                       0                       0                       0                       0        3357.55451707932        4.04230635964836        725.355339012995        539.984530173411       0.115870444936303        24223.4692998607         6372021.5829621     0.00872492070352374 
                      2      0.0147147147147147      0.0889527054593936      0.0272570125638917    7.08275522208341E-12    6.70442577018017E-25    6.33697455297877E-10                       0                       0                       0                       0                       0                       0        3358.91959393748        4.04998173113048        723.231904339171        534.362359454291       0.116209706943274        24223.4788387653        6374267.45317205     0.00886357980523269 
                      2      0.0150650650650651      0.0892136226902055      0.0273369633501763    6.59351828262191E-12    9.64386958330029E-25    5.91363815288888E-10                       0                       0                       0                       0                       0                       0        3360.29317527882        4.05766295397486        721.096981364933        528.719308054554        0.11655057188139        24223.4854784142         6376528.1675708     0.00897425857885171 
                      2      0.0154154154154154      0.0894102992129221      0.0273972295068493    6.23477217203441E-12    9.19348679933536E-25    5.60098639820392E-10                       0                       0                       0                       0                       0                       0        3361.30323916022        4.06388091568284        719.523063687582        524.304673147688       0.116807520054395        24223.5207973959        6378202.31937854     0.00905864981713572 
                      2      0.0157657657657658      0.0896052668649988      0.0274569726932675    5.88036652445957E-12    9.17522587297696E-25    5.29192605473671E-10                       0                       0                       0                       0                       0                       0        3362.30255573624        4.07008163700843        717.964335345354        519.921841153719       0.117062244885233        24223.5583405426        6379857.84959609     0.00916761826969319 
                      2      0.0161161161161161      0.0898002345170755      0.0275167158796857    5.52596087688472E-12    9.15696494661856E-25    4.98286571126949E-10                       0                       0                       0                       0                       0                       0        3363.30187231226        4.07628235833402        716.405607003125        515.539009159751        0.11731696971607        24223.5958836894        6381513.37981365     0.00927658672225066 
                      2      0.0164664664664665      0.0899956692578694      0.0275766019232507    5.17025451380623E-12    8.94903029928592E-25    4.67273863511507E-10                       0                       0                       0                       0                       0                       0        3364.30426799568        4.08248493459064        714.842692374456        511.147598402673       0.117572301060538         24223.632627068        6383174.39708057     0.00937550908727396 
                      2      0.0168168168168168      0.0901680370822676      0.0276294194390323    4.85919551536753E-12    7.24218734182182E-25     4.4007782727468E-10                       0                       0                       0                       0                       0                       0        3365.18160546991        4.08813018385543        713.473573946372        507.219238992967       0.117797487111391        24223.6785281132        6384630.65953713     0.00944847406859694 
                      2      0.0171671671671672      0.0903125135591288      0.0276736898946766    4.60322730995636E-12    5.57571598529886E-25    4.17577947515435E-10                       0                       0                       0                       0                       0                       0         3365.9062216928        4.09312977500486        712.339370142473        503.848932404155        0.11798622814367        24223.7375074116        6385835.47273284     0.00952085639449391 
                      2      0.0175175175175175      0.0904564356590971      0.0277177896731791    4.34871417813989E-12    5.51224567850536E-25    3.95197323150322E-10                       0                       0                       0                       0                       0                       0        3366.62732489906        4.09812730009405        711.209910216971        500.489421158715       0.118174241830278        24223.7976359497        6387033.92039466     0.00960433985861481 
                      2      0.0178678678678679      0.0906003577590655      0.0277618894516815    4.09420104632342E-12    5.44877537171185E-25     3.7281669878521E-10                       0                       0                       0                       0                       0                       0        3367.34842810532        4.10312482518323        710.080450291469        497.129909913276       0.118362255516886        24223.8577644878        6388232.36805648     0.00968782332273571 
                      2      0.0182182182182182      0.0907447601243347      0.0278061370904393    3.83842736168297E-12    3.99660039221734E-25    3.50332761622452E-10                       0                       0                       0                       0                       0                       0        3368.07257469237        4.10812414013245        708.946880670532        493.761046494432        0.11855089931433        24223.9168974217        6389436.33027904     0.00976168969862921 
                      2      0.0185685685685686      0.0908712975674573      0.0278449108836479    3.61614694912392E-12    2.08896398197062E-25    3.30732530062912E-10                       0                       0                       0                       0                       0                       0        3368.70264906746        4.11267139209792        707.959088915204        490.765658335264       0.118716208763444        24223.9811557216        6390484.79529553     0.00981707592782687 
                      2      0.0189189189189189      0.0909761784190746      0.0278770480947392    3.43513206805008E-12    1.71920353760913E-25    3.14675177926397E-10                       0                       0                       0                       0                       0                       0         3369.2177527705        4.11669062522866        707.148304128034        488.221932703132       0.118853229906995        24224.0530077658         6391342.2729807     0.00986946225125294 
                      2      0.0192692692692693      0.0910805222276877      0.0279090207281356    3.25544881328468E-12     1.7149253942019E-25    2.98727073700946E-10                       0                       0                       0                       0                       0                       0        3369.72959236081        4.12070722511629        706.341961372539        485.689152492496       0.118989553760839        24224.1254274818        6392193.82144767     0.00993179274879041 
                      2      0.0196196196196196      0.0911848660363008       0.027940993361532    3.07576555851929E-12    1.71064725079466E-25    2.82778969475494E-10                       0                       0                       0                       0                       0                       0        3370.24143195112        4.12472382500391        705.535618617044        483.156372281861       0.119125877614684        24224.1978471978        6393045.36991464     0.00999412324632788 
                      2        0.01996996996997      0.0912892434065694      0.0279729762799518    2.89599908586799E-12    1.68352886743096E-25    2.66824037974148E-10                       0                       0                       0                       0                       0                       0        3370.75347552701        4.12874058945191        704.728998263785        480.622908054372       0.119262245044548         24224.270231438        6393897.28891875      0.0100558322983883 
                      2      0.0203203203203203      0.0913944227310918      0.0280052049585463    2.71424412556467E-12    1.11064397443992E-25    2.50705969021413E-10                       0                       0                       0                       0                       0                       0        3371.27039332911         4.1327612860627        703.915744724416        478.073099274846       0.119399653721468        24224.3417679867        6394758.06189121      0.0101026919386393 
                      2      0.0206706706706707      0.0914712780970915       0.028028754773458    2.58445417918657E-12     1.2701353820409E-24    2.39089538881047E-10                       0                       0                       0                       0                       0                       0        3371.64165628411         4.1360371951049        703.328421186918         476.13451853314       0.119500053392925        24224.4229180794        6395375.52113557      0.0101376248573454 
                      2       0.021021021021021      0.0915456723430003      0.0280515507251828    2.45942074808756E-12    1.64833332025852E-24     2.2788038052434E-10                       0                       0                       0                       0                       0                       0        3371.99989259884        4.13925675053139        702.760755687671        474.248744750749       0.119597233847748        24224.5058819981        6395970.80795483      0.0101797237383334 
                      2      0.0213713713713714      0.0916198765111742      0.0280742885390964     2.3348335488717E-12     1.6762810718737E-24     2.1670794730855E-10                       0                       0                       0                       0                       0                       0        3372.35700169327        4.14247468845428        702.194617111828        472.366950027228       0.119694164551309        24224.5893060067        6396564.04534957      0.0102250585369938 
                      2      0.0217217217217217      0.0916940806793481      0.0280970263530099    2.21024634965584E-12    1.70422882348888E-24     2.0553551409276E-10                       0                       0                       0                       0                       0                       0        3372.71411078771        4.14569262637717        701.628478535986        470.485155303707        0.11979109525487        24224.6727300154        6397157.28274431      0.0102703933356541 
                      2      0.0220720720720721      0.0917683152173892      0.0281197734559525    2.08558785327817E-12    1.78813816182835E-24    1.94357213079501E-10                       0                       0                       0                       0                       0                       0        3373.07139998494        4.14891082273837        701.062095994373         468.60272482193       0.119888065862698        24224.7560805127        6397750.84758797      0.0103152111122132 
                      2      0.0224224224224224      0.0918431796365911      0.0281427132164524    1.95945063001739E-12    3.03270944814115E-24    1.83057211992333E-10                       0                       0                       0                       0                       0                       0        3373.43242457403        4.15213437919633         700.49065352143        466.707108502151       0.119985864098312        24224.8379063602        6398351.20383145      0.0103493056781852 
                      2      0.0227727727727728      0.0918993675747512      0.0281599309640881     1.8664701932398E-12    9.10301097049852E-24    1.74656312343896E-10                       0                       0                       0                       0                       0                       0        3373.69986833486        4.15482595320615        700.065382527615        465.224463863538       0.120059268168675        24224.9242726234        6398794.62751739       0.010375202874985 
                      2      0.0231231231231231      0.0919513196802391       0.028175850835672    1.78112034987155E-12    1.28840971272999E-23    1.66920058874829E-10                       0                       0                       0                       0                       0                       0        3373.94595233338        4.15740039285932        699.673263665537        463.835240151404       0.120127139260589        24225.0116101164        6399202.03111614      0.0104031052243068 
                      2      0.0234734734734735      0.0920030034497958      0.0281916883603952     1.6963701664387E-12    1.29637427595945E-23    1.59233402936555E-10                       0                       0                       0                       0                       0                       0        3374.19054069313        4.15997111127747          699.2832453662        462.451681052062        0.12019465945167        24225.0989476093        6399606.70331649      0.0104351961797729 
                      2      0.0238238238238238      0.0920546872193525      0.0282075258851184    1.61161998300585E-12     1.3043388391889E-23    1.51546746998281E-10                       0                       0                       0                       0                       0                       0        3374.43512905288        4.16254182969561        698.893227066863        461.068121952719       0.120262179642751        24225.1862851022        6400011.37551683      0.0104672871352391 
                      2      0.0241741741741742      0.0921063709889092      0.0282233634098415      1.526869799573E-12    1.31230340241836E-23    1.43860091060008E-10                       0                       0                       0                       0                       0                       0        3374.67971741263        4.16511254811376        698.503208767526        459.684562853376       0.120329699833832        24225.2736225952        6400416.04771718      0.0104993780907053 
                      2      0.0245245245245245      0.0921582691053076      0.0282392667132678    1.44164060756061E-12    1.61593917247662E-23    1.36133816595681E-10                       0                       0                       0                       0                       0                       0        3374.92550048919        4.16768623905582        698.111512537889        458.296478859228       0.120397500324629        24225.3609600881        6400822.90175959      0.0105281231860247 
                      2      0.0248748748748749      0.0922092961781985      0.0282549031765093    1.35775754781771E-12     2.2749143615706E-23    1.28530196984399E-10                       0                       0                       0                       0                       0                       0        3375.16721223741        4.17022766548356        697.726498129608        456.928313037432       0.120464163219645        24225.4485586849         6401223.2023954      0.0105517387983972 
                      2      0.0252252252252252      0.0922448751615845      0.0282658051012534    1.30044084278007E-12    2.25437482442443E-23    1.23273825011721E-10                       0                       0                       0                       0                       0                       0        3375.33320417298        4.17228739261668        697.460600308871        455.906536594904       0.120510644127775        24225.5396171182        6401496.90520601      0.0105683566039317 
                      2      0.0255755755755756      0.0922802308970517      0.0282766386113127    1.24359636656354E-12    2.24541764216394E-23    1.18056775958114E-10                       0                       0                       0                       0                       0                       0        3375.49796901125         4.1743433772505        697.196425143972        454.889358227582       0.120556834957642        24225.6306755514        6401768.36556236      0.0105881262199839 
                      2      0.0259259259259259      0.0923154230926847      0.0282874220043261    1.18709782066283E-12    2.24494509172703E-23     1.1286853283334E-10                       0                       0                       0                       0                       0                       0        3375.66183494173        4.17639662032365        696.933511907298         453.87554817142       0.120602813291233        24225.7217339846        6402038.18321315      0.0106102046887768 
                      2      0.0262762762762763      0.0923506152883177      0.0282982053973394    1.13059927476213E-12    2.24447254129013E-23    1.07680289708565E-10                       0                       0                       0                       0                       0                       0        3375.82570087222        4.17844986339679        696.670598670624        452.861738115259       0.120648791624825        24225.8127924179        6402308.00086394      0.0106322831575697 
                      2      0.0266266266266266      0.0923858074839507      0.0283089887903528    1.07410072886143E-12    2.24399999085323E-23    1.02492046583791E-10                       0                       0                       0                       0                       0                       0        3375.98956680271        4.18050310646993         696.40768543395        451.847928059097       0.120694769958417        24225.9038508511        6402577.81851473      0.0106543616263626 
                      2       0.026976976976977      0.0924210379166537      0.0283197839011779    1.01752130137139E-12    2.24154365791609E-23    9.72970683762563E-11                       0                       0                       0                       0                       0                       0        3376.15364290584        4.18255699054438        696.144477147216        450.833330461781       0.120740797975531        24225.9949092843        6402848.02024472      0.0106759002648177 
                      2      0.0273273273273273      0.0924566169000397      0.0283306858259221    9.60204596333746E-13    2.22100412076992E-23    9.20406964035777E-11                       0                       0                       0                       0                       0                       0        3376.31963484141        4.18461671767751        695.878579326479        449.811554019253       0.120787278883661        24226.0859677175        6403121.72305533      0.0106925180703522 
                      2      0.0276776776776777      0.0924849815853494      0.0283393772181265    9.14928549421645E-13    1.85984955509843E-23    8.78606103915495E-11                       0                       0                       0                       0                       0                       0        3376.45104768986        4.18642815454757        695.667695165828        448.952123320078       0.120824340432915         24226.178012611         6403337.6281618      0.0107057891312246 
                      2       0.028028028028028       0.092508653253388      0.0283466306232561    8.77485144845969E-13    1.27711941896938E-23    8.43806657583061E-11                       0                       0                       0                       0                       0                       0        3376.55996628434        4.18807807459639        695.492598278479        448.198301145725        0.12085527453728        24226.2706992128         6403515.9349294      0.0107168830807086 
                      2      0.0283783783783784      0.0925320512963664      0.0283538005166362    8.40591921471551E-13    1.24504402200418E-23    8.09469452138821E-11                       0                       0                       0                       0                       0                       0        3376.66742823365        4.18972354759061         695.31957322139        447.449796433335       0.120885849131115        24226.3628201272        6403691.57708287      0.0107314546094143 
                      2      0.0287287287287287      0.0925554366754893      0.0283609665449438    8.03724161463871E-13    1.23845390795476E-23    7.75153640026869E-11                       0                       0                       0                       0                       0                       0        3376.77482276683        4.19136881476721        695.146644052298        446.701537822563       0.120916407086163        24226.4549148605        6403867.09591325      0.0107461870866855 
                      2      0.0290790790790791      0.0925788220546122      0.0283681325732513    7.66856401456191E-13    1.23186379390535E-23    7.40837827914918E-11                       0                       0                       0                       0                       0                       0        3376.88221730001        4.19301408194382        694.973714883207        445.953279211791        0.12094696504121        24226.5470095938        6404042.61474363      0.0107609195639566 
                      2      0.0294294294294294      0.0926022074337351      0.0283752986015588    7.29988641448511E-13    1.22527367985593E-23    7.06522015802966E-11                       0                       0                       0                       0                       0                       0        3376.98961183319        4.19465934912042        694.800785714115         445.20502060102       0.120977522996258        24226.6391043272          6404218.133574      0.0107756520412278 
                      2      0.0297797797797798      0.0926255945734261      0.0283824651672007    6.93117341445266E-13    1.21514052338719E-23    6.72203229524158E-11                       0                       0                       0                       0                       0                       0        3377.09701573877        4.19630464491042        694.627843214379        444.456727776444       0.121008083264481        24226.7312027003        6404393.66954914      0.0107903621429343 
                      2      0.0301301301301301      0.0926492662414647      0.0283897185723303    6.55673936869591E-13     6.3241038725814E-24    6.37403783191723E-11                       0                       0                       0                       0                       0                       0        3377.20593433325        4.19795456495924         694.45274632703        443.702905602091       0.121039017368845        24226.8238893021        6404571.97631674      0.0108014560924183 
                      2      0.0304804804804805      0.0926699710410198      0.0283960629043691    6.23046929094407E-13    2.33328842215092E-24     6.0696529189506E-11                       0                       0                       0                       0                       0                       0        3377.30088368252        4.19949080413198        694.300089761668        443.015346244716       0.121066069843184        24226.9172090863        6404727.09622454      0.0108111500714533 
                      2      0.0308308308308308      0.0926853098388479       0.028400763049009    5.99131056879621E-13    1.66401776691543E-24    5.84414205241954E-11                       0                       0                       0                       0                       0                       0        3377.37056767395         4.2008214353444        694.188019695912        442.447632573904       0.121086101840028        24227.0116740707        6404840.27941341      0.0108183120057115 
