VARIABLES = "X"
 "Y"
 "rho_N2"
 "rho_O2"
 "rho_NO"
 "rho_N"
 "rho_O"
 "rho_NOp"
 "rho_N2p"
 "rho_O2p"
 "rho_Np"
 "rho_Op"
 "rho_e"
 "U"
 "V"
 "T"
 "Tv"
 "rho"
 "P"
 "H"
 "tau"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
       1.47042042042042                     0.3      0.0302819113881373     0.00926382502175165    9.22524428282694E-06    3.70505161070173E-10    1.16147087587923E-05                       0                       0                       0                       0                       0                       0        3426.78812869173       -3411.52575087533        363.542428657479        444.062645555933      0.0395665821361231        4170.16728373394        12066164.7267369        1.58997976816649 
       1.47082082082082                     0.3      0.0302831447836094     0.00926416834532428    9.24605833209974E-06    3.70509186922981E-10    1.16412449397115E-05                       0                       0                       0                       0                       0                       0        3426.77809124844       -3411.47111203536        363.654685538082        444.491689643592      0.0395682060492384        4171.59811682347        12066076.7285916        1.58186941553438 
       1.47122122122122                     0.3      0.0302843781790816     0.00926451166889691    9.26687238137254E-06    3.70513212775789E-10    1.16677811206307E-05                       0                       0                       0                       0                       0                       0        3426.76805380515       -3411.41647319538        363.766942418684         444.92073373125      0.0395698299623536          4173.028949913        12065988.7304462        1.57375906290227 
       1.47162162162162                     0.3      0.0302856115745537     0.00926485499246955    9.28768643064533E-06    3.70517238628596E-10    1.16943173015499E-05                       0                       0                       0                       0                       0                       0        3426.75801636186       -3411.36183435541        363.879199299287        445.349777818909      0.0395714538754688        4174.45978300253        12065900.7323009        1.56564871027016 
       1.47202202202202                     0.3      0.0302868449700259     0.00926519831604218    9.30850047991813E-06    3.70521264481404E-10    1.17208534824691E-05                       0                       0                       0                       0                       0                       0        3426.74797891857       -3411.30719551543        363.991456179889        445.778821906568      0.0395730777885841        4175.89061609206        12065812.7341556        1.55753835763805 
       1.47242242242242                     0.3       0.030288078365498     0.00926554163961481    9.32931452919094E-06    3.70525290334212E-10    1.17473896633883E-05                       0                       0                       0                       0                       0                       0        3426.73794147527       -3411.25255667546        364.103713060492        446.207865994227      0.0395747017016993        4177.32144918159        12065724.7360102        1.54942800500594 
       1.47282282282282                     0.3      0.0302893117609702     0.00926588496318744    9.35012857846373E-06    3.70529316187019E-10    1.17739258443075E-05                       0                       0                       0                       0                       0                       0        3426.72790403198       -3411.19791783548        364.215969941094        446.636910081885      0.0395763256148146        4178.75228227112        12065636.7378649        1.54131765237383 
       1.47322322322322                     0.3      0.0302905451564423     0.00926622828676007    9.37094262773653E-06    3.70533342039827E-10    1.18004620252268E-05                       0                       0                       0                       0                       0                       0        3426.71786658869       -3411.14327899551        364.328226821697        447.065954169544      0.0395779495279298        4180.18311536065        12065548.7397196        1.53320729974172 
       1.47362362362362                     0.3      0.0302917785519145      0.0092665716103327    9.39175667700932E-06    3.70537367892634E-10     1.1826998206146E-05                       0                       0                       0                       0                       0                       0         3426.7078291454       -3411.08864015553        364.440483702299        447.494998257203       0.039579573441045        4181.61394845018        12065460.7415742        1.52509694710961 
       1.47402402402402                     0.3      0.0302930119473867     0.00926691493390533    9.41257072628212E-06    3.70541393745442E-10    1.18535343870652E-05                       0                       0                       0                       0                       0                       0        3426.69779170211       -3411.03400131556        364.552740582902        447.924042344861      0.0395811973541603        4183.04478153971        12065372.7434289        1.51698659447751 
       1.47442442442442                     0.3      0.0302942453428588     0.00926725825747796    9.43338477555493E-06     3.7054541959825E-10    1.18800705679844E-05                       0                       0                       0                       0                       0                       0        3426.68775425882       -3410.97936247558        364.664997463504         448.35308643252      0.0395828212672755        4184.47561462925        12065284.7452836        1.50887624184539 
       1.47482482482482                     0.3       0.030295478738331     0.00926760158105059    9.45419882482772E-06    3.70549445451057E-10    1.19066067489036E-05                       0                       0                       0                       0                       0                       0        3426.67771681553       -3410.92472363561        364.777254344107        448.782130520179      0.0395844451803908        4185.90644771878        12065196.7471382        1.50076588921328 
       1.47522522522523                     0.3      0.0302967121338031     0.00926794490462322    9.47501287410052E-06    3.70553471303865E-10    1.19331429298228E-05                       0                       0                       0                       0                       0                       0        3426.66767937224       -3410.87008479563        364.889511224709        449.211174607837       0.039586069093506        4187.33728080831        12065108.7489929        1.49265553658117 
       1.47562562562563                     0.3      0.0302979455292753     0.00926828822819585    9.49582692337332E-06    3.70557497156673E-10     1.1959679110742E-05                       0                       0                       0                       0                       0                       0        3426.65764192894       -3410.81544595566        365.001768105312        449.640218695496      0.0395876930066213        4188.76811389784        12065020.7508476        1.48454518394907 
       1.47602602602603                     0.3      0.0302991789247474     0.00926863155176848    9.51664097264612E-06     3.7056152300948E-10    1.19862152916612E-05                       0                       0                       0                       0                       0                       0        3426.64760448565       -3410.76080711568        365.114024985914        450.069262783155      0.0395893169197365        4190.19894698737        12064932.7527022        1.47643483131695 
       1.47642642642643                     0.3      0.0303004123202196     0.00926897487534111    9.53745502191892E-06    3.70565548862288E-10    1.20127514725804E-05                       0                       0                       0                       0                       0                       0        3426.63756704236       -3410.70616827571        365.226281866517        450.498306870813      0.0395909408328517         4191.6297800769        12064844.7545569        1.46832447868484 
       1.47682682682683                     0.3      0.0303016457156917     0.00926931819891375    9.55826907119171E-06    3.70569574715096E-10    1.20392876534997E-05                       0                       0                       0                       0                       0                       0        3426.62752959907       -3410.65152943574        365.338538747119        450.927350958472       0.039592564745967        4193.06061316643        12064756.7564116        1.46021412605274 
       1.47722722722723                     0.3      0.0303028791111639     0.00926966152248638    9.57908312046451E-06    3.70573600567903E-10    1.20658238344189E-05                       0                       0                       0                       0                       0                       0        3426.61749215578       -3410.59689059576        365.450795627722        451.356395046131      0.0395941886590822        4194.49144625596        12064668.7582662        1.45210377342063 
       1.47762762762763                     0.3       0.030304112506636     0.00927000484605901    9.59989716973732E-06    3.70577626420711E-10    1.20923600153381E-05                       0                       0                       0                       0                       0                       0        3426.60745471249       -3410.54225175579        365.563052508324         451.78543913379      0.0395958125721975        4195.92227934549        12064580.7601209        1.44399342078851 
       1.47802802802803                     0.3      0.0303053459021082     0.00927034816963164    9.62071121901011E-06    3.70581652273519E-10    1.21188961962573E-05                       0                       0                       0                       0                       0                       0         3426.5974172692       -3410.48761291581        365.675309388927        452.214483221448      0.0395974364853127        4197.35311243502        12064492.7619756         1.4358830681564 
       1.47842842842843                     0.3      0.0303065792975803     0.00927069149320427    9.64152526828291E-06    3.70585678126326E-10    1.21454323771765E-05                       0                       0                       0                       0                       0                       0        3426.58737982591       -3410.43297407584        365.787566269529        452.643527309107      0.0395990603984279        4198.78394552455        12064404.7638302         1.4277727155243 
       1.47882882882883                     0.3      0.0303078126930525      0.0092710348167769     9.6623393175557E-06    3.70589703979134E-10    1.21719685580957E-05                       0                       0                       0                       0                       0                       0        3426.57734238262       -3410.37833523586        365.899823150132        453.072571396765      0.0396006843115432        4200.21477861408        12064316.7656849        1.41966236289219 
       1.47922922922923                     0.3      0.0303090460885246     0.00927137814034953    9.68315336682851E-06    3.70593729831942E-10    1.21985047390149E-05                       0                       0                       0                       0                       0                       0        3426.56730493932       -3410.32369639589        366.012080030734        453.501615484424      0.0396023082246584        4201.64561170361        12064228.7675396        1.41155201026007 
       1.47962962962963                     0.3      0.0303102794839968     0.00927172146392216    9.70396741610131E-06    3.70597755684749E-10    1.22250409199341E-05                       0                       0                       0                       0                       0                       0        3426.55726749603       -3410.26905755591        366.124336911337        453.930659572083      0.0396039321377737        4203.07644479315        12064140.7693942        1.40344165762796 
       1.48003003003003                     0.3      0.0303115128794689     0.00927206478749479     9.7247814653741E-06    3.70601781537557E-10    1.22515771008533E-05                       0                       0                       0                       0                       0                       0        3426.54723005274       -3410.21441871594        366.236593791939        454.359703659742      0.0396055560508889        4204.50727788268        12064052.7712489        1.39533130499586 
       1.48043043043043                     0.3      0.0303127462749411     0.00927240811106743     9.7455955146469E-06    3.70605807390365E-10    1.22781132817726E-05                       0                       0                       0                       0                       0                       0        3426.53719260945       -3410.15977987596        366.348850672542          454.7887477474      0.0396071799640041        4205.93811097221        12063964.7731036        1.38722095236375 
       1.48083083083083                     0.3      0.0303139796704133     0.00927275143464005    9.76640956391971E-06    3.70609833243172E-10    1.23046494626918E-05                       0                       0                       0                       0                       0                       0        3426.52715516616       -3410.10514103599        366.461107553144        455.217791835059      0.0396088038771194        4207.36894406174        12063876.7749582        1.37911059973163 
       1.48123123123123                     0.3      0.0303152130658854     0.00927309475821269     9.7872236131925E-06     3.7061385909598E-10     1.2331185643611E-05                       0                       0                       0                       0                       0                       0        3426.51711772287       -3410.05050219601        366.573364433747        455.646835922718      0.0396104277902346        4208.79977715127        12063788.7768129        1.37100024709953 
       1.48163163163163                     0.3      0.0303164464613576     0.00927343808178532     9.8080376624653E-06    3.70617884948787E-10    1.23577218245302E-05                       0                       0                       0                       0                       0                       0        3426.50708027958       -3409.99586335604        366.685621314349        456.075880010376      0.0396120517033499         4210.2306102408        12063700.7786676        1.36288989446742 
       1.48203203203203                     0.3      0.0303176798568297     0.00927378140535795     9.8288517117381E-06    3.70621910801595E-10    1.23842580054494E-05                       0                       0                       0                       0                       0                       0        3426.49704283629       -3409.94122451606        366.797878194952        456.504924098035      0.0396136756164651        4211.66144333033        12063612.7805222        1.35477954183531 
       1.48243243243243                     0.3      0.0303189132523019     0.00927412472893058     9.8496657610109E-06    3.70625936654403E-10    1.24107941863686E-05                       0                       0                       0                       0                       0                       0          3426.487005393       -3409.88658567609        366.910135075554        456.933968185694      0.0396152995295804        4213.09227641986        12063524.7823769        1.34666918920319 
       1.48283283283283                     0.3       0.030320146647774     0.00927446805250321     9.8704798102837E-06     3.7062996250721E-10    1.24373303672878E-05                       0                       0                       0                       0                       0                       0         3426.4769679497       -3409.83194683611        367.022391956157        457.363012273352      0.0396169234426956        4214.52310950939        12063436.7842316        1.33855883657109 
       1.48323323323323                     0.3      0.0303213800432462     0.00927481137607584    9.89129385955649E-06    3.70633988360018E-10     1.2463866548207E-05                       0                       0                       0                       0                       0                       0        3426.46693050641       -3409.77730799614        367.134648836759        457.792056361011      0.0396185473558108        4215.95394259892        12063348.7860862        1.33044848393898 
       1.48363363363363                     0.3      0.0303226134387183     0.00927515469964847    9.91210790882929E-06    3.70638014212826E-10    1.24904027291262E-05                       0                       0                       0                       0                       0                       0        3426.45689306312       -3409.72266915616        367.246905717362         458.22110044867      0.0396201712689261        4217.38477568845        12063260.7879409        1.32233813130687 
       1.48403403403403                     0.3      0.0303238468341905      0.0092754980232211     9.9329219581021E-06    3.70642040065633E-10    1.25169389100455E-05                       0                       0                       0                       0                       0                       0        3426.44685561983       -3409.66803031619        367.359162597964        458.650144536329      0.0396217951820413        4218.81560877798        12063172.7897956        1.31422777867476 
