VARIABLES = "X"
 "Y"
 "rho_N2"
 "rho_O2"
 "rho_NO"
 "rho_N"
 "rho_O"
 "rho_NOp"
 "rho_N2p"
 "rho_O2p"
 "rho_Np"
 "rho_Op"
 "rho_e"
 "U"
 "V"
 "T"
 "Tv"
 "rho"
 "P"
 "H"
 "tau"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                      1                    0.25      0.0299005398285117     0.00916216122836364    2.96932966103777E-09    5.43249158262759E-21    3.65469031510514E-09                       0                       0                       0                       0                       0                       0        3429.99743462384        -3429.9860941967        322.902430995624        323.230452733958      0.0390627067737576        3635.48438196615        12090734.4227787        5.98966967533766 
       1.00027027027027                    0.25      0.0299005452908079     0.00916216284313004    3.00135343906895E-09    5.50372574086325E-21     3.6940501797537E-09                       0                       0                       0                       0                       0                       0        3429.99740326819       -3429.98595570923        322.902627948323        323.234139962845      0.0390627139504971        3635.48726146034        12090734.1016968        5.98833215563671 
       1.00054054054054                    0.25      0.0299005507531041     0.00916216445789644    3.03337721710011E-09    5.57495989909885E-21    3.73341004440222E-09                       0                       0                       0                       0                       0                       0        3429.99737191253       -3429.98581722176        322.902824901022        323.237827191732      0.0390627211272367        3635.49014095452        12090733.7806149        5.98699463593576 
       1.00081081081081                    0.25      0.0299005562154003     0.00916216607266284     3.0654009951313E-09    5.64619405733451E-21    3.77276990905077E-09                       0                       0                       0                       0                       0                       0        3429.99734055688        -3429.9856787343        322.903021853721        323.241514420619      0.0390627283039762        3635.49302044871         12090733.459533        5.98565711623481 
       1.00108108108108                    0.25      0.0299005616776966     0.00916216768742924    3.09742477316245E-09    5.71742821557011E-21    3.81212977369929E-09                       0                       0                       0                       0                       0                       0        3429.99730920123       -3429.98554024682         322.90321880642        323.245201649505      0.0390627354807158        3635.49589994289        12090733.1384511        5.98431959653387 
       1.00135135135135                    0.25      0.0299005671399928     0.00916216930219564    3.12944855119364E-09    5.78866237380576E-21    3.85148963834785E-09                       0                       0                       0                       0                       0                       0        3429.99727784557       -3429.98540175935        322.903415759119        323.248888878392      0.0390627426574553        3635.49877943708        12090732.8173693        5.98298207683292 
       1.00162162162162                    0.25       0.029900572602289     0.00916217091696204     3.1614723292248E-09    5.85989653204137E-21    3.89084950299637E-09                       0                       0                       0                       0                       0                       0        3429.99724648992       -3429.98526327188        322.903612711818        323.252576107279      0.0390627498341949        3635.50165893127        12090732.4962874        5.98164455713197 
       1.00189189189189                    0.25      0.0299005780645852     0.00916217253172844    3.19349610725599E-09    5.93113069027702E-21    3.93020936764493E-09                       0                       0                       0                       0                       0                       0        3429.99721513427       -3429.98512478441        322.903809664517        323.256263336165      0.0390627570109345        3635.50453842545        12090732.1752055        5.98030703743102 
       1.00216216216216                    0.25      0.0299005835268814     0.00916217414649484    3.22551988528714E-09    6.00236484851263E-21    3.96956923229345E-09                       0                       0                       0                       0                       0                       0        3429.99718377861       -3429.98498629694        322.904006617216        323.259950565052       0.039062764187674        3635.50741791964        12090731.8541236        5.97896951773008 
       1.00243243243243                    0.25      0.0299005889891777     0.00916217576126124    3.25754366331833E-09    6.07359900674828E-21      4.008929096942E-09                       0                       0                       0                       0                       0                       0        3429.99715242296       -3429.98484780948        322.904203569915        323.263637793939      0.0390627713644136        3635.51029741382        12090731.5330417        5.97763199802913 
