 VARIABLES =  "time_microSec" "translationalTemp_K" "thVibrationalTemp_K" "polarizabilityBoltz_A" "polarizabilityNonBoltz_A"
7.631219999999998741e-06 1.711180000000000064e+03 2.953919999999999959e+02 1.636025554405895718e-30 1.636025463674503639e-30
1.549140000000000215e-05 1.711180000000000064e+03 2.953940000000000055e+02 1.636025557562768924e-30 1.636025466455141520e-30
2.358730000000000031e-05 1.711180000000000064e+03 2.953959999999999582e+02 1.636025560721734619e-30 1.636025469237895362e-30
3.192619999999999936e-05 1.711180000000000064e+03 2.953979999999999677e+02 1.636025553776111200e-30 1.636025461953151759e-30
4.051520000000000132e-05 1.711180000000000064e+03 2.953999999999999773e+02 1.636025553668544727e-30 1.636025461469368177e-30
4.936189999999999914e-05 1.711180000000000064e+03 2.954019999999999868e+02 1.636025560400366785e-30 1.636025469375560675e-30
5.847390000000000270e-05 1.711180000000000064e+03 2.954039999999999964e+02 1.636025558662294261e-30 1.636025467261245118e-30
6.785939999999998932e-05 1.711180000000000064e+03 2.954060000000000059e+02 1.636025562129364851e-30 1.636025471902642707e-30
7.752640000000000366e-05 1.711180000000000064e+03 2.954089999999999918e+02 1.636025557125639824e-30 1.636025466522639265e-30
8.748340000000000337e-05 1.711180000000000064e+03 2.954110000000000014e+02 1.636025558963107849e-30 1.636025467899272774e-30
9.773910000000000074e-05 1.711180000000000064e+03 2.954130000000000109e+02 1.636025559168485305e-30 1.636025467643761063e-30
1.083020000000000076e-04 1.711180000000000064e+03 2.954159999999999968e+02 1.636025557790138708e-30 1.636025467391320998e-30
1.191829999999999870e-04 1.711170000000000073e+03 2.954180000000000064e+02 1.636025563207167259e-30 1.636025472262849280e-30
1.303889999999999878e-04 1.711170000000000073e+03 2.954209999999999923e+02 1.636025558516698650e-30 1.636025468746654771e-30
1.419319999999999957e-04 1.711170000000000073e+03 2.954240000000000350e+02 1.636025560719514612e-30 1.636025470355490442e-30
1.538220000000000190e-04 1.711170000000000073e+03 2.954270000000000209e+02 1.636025561242903092e-30 1.636025472016012307e-30
1.660669999999999941e-04 1.711170000000000073e+03 2.954290000000000305e+02 1.636025560135276148e-30 1.636025470362814679e-30
1.786809999999999787e-04 1.711170000000000073e+03 2.954320000000000164e+02 1.636025565923920994e-30 1.636025475520348328e-30
1.916720000000000175e-04 1.711170000000000073e+03 2.954359999999999786e+02 1.636025570034392869e-30 1.636025470605646040e-30
2.050540000000000056e-04 1.711170000000000073e+03 2.954390000000000214e+02 1.636025562448214201e-30 1.636025472502989798e-30
2.188370000000000191e-04 1.711170000000000073e+03 2.954420000000000073e+02 1.636025563346986017e-30 1.636025472770568440e-30
2.330330000000000032e-04 1.711170000000000073e+03 2.954449999999999932e+02 1.636025569413983739e-30 1.636025479805303232e-30
2.476549999999999997e-04 1.711170000000000073e+03 2.954490000000000123e+02 1.636025565418794236e-30 1.636025475178868357e-30
2.627159999999999695e-04 1.711170000000000073e+03 2.954519999999999982e+02 1.636025566641742438e-30 1.636025477321019307e-30
2.782290000000000089e-04 1.711170000000000073e+03 2.954559999999999604e+02 1.636025566187915115e-30 1.636025477834865645e-30
2.942069999999999972e-04 1.711170000000000073e+03 2.954599999999999795e+02 1.636025572638880527e-30 1.636025483485168701e-30
3.106639999999999922e-04 1.711170000000000073e+03 2.954639999999999986e+02 1.636025575828030191e-30 1.636025479107917974e-30
3.276150000000000134e-04 1.711170000000000073e+03 2.954680000000000177e+02 1.636025568904194510e-30 1.636025479916443016e-30
3.450750000000000258e-04 1.711170000000000073e+03 2.954719999999999800e+02 1.636025575691152408e-30 1.636025479050558274e-30
3.630580000000000330e-04 1.711170000000000073e+03 2.954759999999999991e+02 1.636025572365127413e-30 1.636025483373784040e-30
3.815809999999999775e-04 1.711170000000000073e+03 2.954800000000000182e+02 1.636025574314793203e-30 1.636025486072106847e-30
4.006600000000000027e-04 1.711170000000000073e+03 2.954850000000000136e+02 1.636025572955831118e-30 1.636025483827366837e-30
4.203109999999999811e-04 1.711170000000000073e+03 2.954900000000000091e+02 1.636025578462892394e-30 1.636025490046817774e-30
4.405519999999999792e-04 1.711170000000000073e+03 2.954940000000000282e+02 1.636025580711885345e-30 1.636025482965761660e-30
4.613990000000000322e-04 1.711170000000000073e+03 2.954990000000000236e+02 1.636025579751344643e-30 1.636025491123876793e-30
4.828719999999999670e-04 1.711170000000000073e+03 2.955040000000000191e+02 1.636025583978197860e-30 1.636025487568874724e-30
5.049899999999999745e-04 1.711170000000000073e+03 2.955090000000000146e+02 1.636025584997700646e-30 1.636025489166014458e-30
5.277710000000000127e-04 1.711170000000000073e+03 2.955149999999999864e+02 1.636025582761260527e-30 1.636025494331243688e-30
5.512349999999999629e-04 1.711170000000000073e+03 2.955199999999999818e+02 1.636025585717674835e-30 1.636025489465297829e-30
5.754030000000000472e-04 1.711170000000000073e+03 2.955260000000000105e+02 1.636025585469078532e-30 1.636025498122953443e-30
6.002969999999999617e-04 1.711170000000000073e+03 2.955319999999999823e+02 1.636025590466780778e-30 1.636025495162159727e-30
6.259370000000000211e-04 1.711170000000000073e+03 2.955380000000000109e+02 1.636025590578104132e-30 1.636025495728730620e-30
6.523459999999999372e-04 1.711170000000000073e+03 2.955440000000000396e+02 1.636025587438291384e-30 1.636025501509639598e-30
6.795479999999999793e-04 1.711170000000000073e+03 2.955509999999999877e+02 1.636025589551100545e-30 1.636025503993888140e-30
7.075649999999999518e-04 1.711170000000000073e+03 2.955570000000000164e+02 1.636025595334241441e-30 1.636025501642359028e-30
