VARIABLES = "X"
 "Y"
 "rho_N2"
 "rho_O2"
 "rho_NO"
 "rho_N"
 "rho_O"
 "rho_NOp"
 "rho_N2p"
 "rho_O2p"
 "rho_Np"
 "rho_Op"
 "rho_e"
 "U"
 "V"
 "T"
 "Tv"
 "rho"
 "P"
 "H"
 "tau"
 "gamma"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                    0.5                     0.1      0.0299051239947391     0.00916356959926701    1.96806416590555E-18    1.90017566748018E-24    1.04963448527287E-18                       0                       0                       0                       0                       0                       0        3429.99192331084       -604.935336746001        322.910284096082        322.884006760036      0.0390686901378721        3636.33039135649        6391298.69320319        6.11302730873326        1.39612996578217 
       0.52020202020202                     0.1      0.0299116413995393     0.00916556607667397    2.03598701262882E-18    1.89714350517573E-24    1.08585972533889E-18                       0                       0                       0                       0                       0                       0        3429.98126277809       -604.850859676984        322.946243897782        322.884024416157      0.0390772000885508         3637.5287760728        6391247.69091111        6.10669123040969        1.39612996578217 
       0.54040404040404                     0.1      0.0299246633582655     0.00916955616270832    2.11516167364641E-18    1.09828180659758E-24     1.1280859046345E-18                       0                       0                       0                       0                       0                       0        3429.96020184278       -604.678834831932        323.022109272991        322.884105856659      0.0390942133338024        3639.96917819894         6391148.4419204        6.09362481594748        1.39612992333957 
      0.560606060606061                     0.1      0.0299483404526867     0.00917681148665796    2.20529820404601E-18    4.04053368478857E-23    1.17615869724416E-18                       0                       0                       0                       0                       0                       0         3429.9223354048       -604.360139977405         323.16758508139        322.884305374903      0.0391251506769381        3644.49781593612        6390972.95654647        6.06931487747674        1.39612988089697 
      0.580808080808081                     0.1      0.0299784989819499     0.00918605223976998     2.2983788253281E-18    2.00948422306462E-22    1.22580194248044E-18                       0                       0                       0                       0                       0                       0        3429.87418959322       -603.955352014744        323.351135314636        322.884546897152      0.0391645518214609        3650.24509903542        6390747.65908245        6.03834359860601        1.39612988089697 
      0.601010101010101                     0.1      0.0300360686526956     0.00920369253639083    2.38915198054631E-18    2.01130617686803E-22    1.27421420242612E-18                       0                       0                       0                       0                       0                       0        3429.78271054689       -603.167205319471        323.721473127845        322.885093711436      0.0392397533869599        3661.45962516858        6390330.02684394        5.97797758273075        1.39612916040083 
      0.621212121212121                     0.1      0.0301358144941753     0.00923425858690061    2.47603362977339E-18    8.14640656288212E-23    1.32055129714663E-18                       0                       0                       0                       0                       0                       0        3429.62622121738        -601.77127474837        324.405336259916          322.8863604633      0.0393700717772152        3681.44626028599        6389638.56455006        5.87261078037819        1.39612901210785 
      0.641414141414141                     0.1       0.030281032672834     0.00927875777272172    2.55872003139648E-18    2.07360385260345E-24    1.36465050539726E-18                       0                       0                       0                       0                       0                       0        3429.39975247732       -599.706249335386         325.45174664297        322.888661918634       0.039559795225508        3711.27752329292         6388673.5117166        5.72121766427979        1.39612896966525 
      0.661616161616162                     0.1      0.0304805298572429     0.00933988760820563    2.64262409702723E-18    2.54020666816993E-24    1.40939878081763E-18                       0                       0                       0                       0                       0                       0        3429.09076098197       -596.832801337025        326.953025901734        322.892530017228      0.0398204216251927        3753.27992646552        6387407.23940102        5.51914547643661        1.39612883703213 
      0.681818181818182                     0.1      0.0307189339060466     0.00941293753277582    2.73735411079095E-18     1.3904749789493E-24    1.45992168844958E-18                       0                       0                       0                       0                       0                       0        3428.72223178893       -593.380962036262        328.768850717263        322.897319038982      0.0401318670308981        3803.68939291531        6385904.58952139        5.27530701006025        1.39612874684183 
      0.702020202020202                     0.1      0.0310508991752462     0.00951466010751172    2.84135064515623E-18    2.39237997767284E-25    1.51538524776593E-18                       0                       0                       0                       0                       0                       0        3428.21354844017       -588.504977110234        331.431898254534        322.905869845812      0.0405655591793887        3876.18825946293        6383946.34519528        4.95423133358188        1.39612789371171 
      0.722222222222222                     0.1      0.0314891039647641     0.00964893587222773    2.94934160618899E-18    1.15355561841693E-25     1.5729792165402E-18                       0                       0                       0                       0                       0                       0        3427.54978466705       -582.007281372464        335.114673277871         322.92015320689      0.0411380427962495        3975.45093128116        6381579.60828442        4.57087742690895        1.39612683642291 
      0.742424242424242                     0.1      0.0320200198976005     0.00981161922339642     3.0663344017711E-18    1.91011616447298E-25    1.63537345722466E-18                       0                       0                       0                       0                       0                       0        3426.75539692542       -574.111338935477        339.706185800492        322.940965999374      0.0418316418325695         4099.2311867465        6378932.47358837        4.15090629651376        1.39612567034286 
      0.762626262626263                     0.1      0.0326500141749203      0.0100046621457237    3.19372948997788E-18    1.16253232160406E-21    1.70331451432662E-18                       0                       0                       0                       0                       0                       0        3425.82569536586       -564.747563772245        345.272185249094        322.970213800738      0.0426546758866956        4250.23853804774        6376051.78144145        3.70600754436772        1.39612405644377 
      0.782828282828283                     0.1       0.033347144101961      0.0102182790268451    3.32785298877749E-18    5.81188690217443E-21    1.77484396154246E-18                       0                       0                       0                       0                       0                       0        3424.79872841429       -554.346455313039        351.531411413775        323.004675590956      0.0435654222803765         4419.2739257669        6372979.13089044        3.24088336064415        1.39612144943165 
      0.803030303030303                     0.1      0.0341884707196979      0.0104760808032081    3.46807365160729E-18    5.81188690217443E-21    1.84962266290806E-18                       0                       0                       0                       0                       0                       0        3423.58657390386       -541.878189947728        359.222016420171        323.055355466441      0.0446645415275393        4630.55996131757        6369746.43438112        2.78015128680791        1.39611785148348 
      0.823232323232323                     0.1       0.035179566016321      0.0107797753841702    3.62458894645641E-18    2.32475092198911E-21    1.93308917650243E-18                       0                       0                       0                       0                       0                       0        3422.20434807705        -527.43006374137        368.298621183801        323.127400693782      0.0459593371583669        4888.30855799472        6366533.51029109        2.35013427766271        1.39611319323835 
      0.843434343434343                     0.1      0.0362884718094943        0.01111956757432    3.79352316594813E-18     6.3307829417425E-28     2.0231761690612E-18                       0                       0                       0                       0                       0                       0        3420.69698217035       -511.517638714393        378.403549128459        323.220271851767      0.0474080389493612        5184.18455554967        6363420.69878404        1.95374325475319        1.39610692933983 
