VARIABLES = "X"
 "Y"
 "rho_N2"
 "rho_O2"
 "rho_NO"
 "rho_N"
 "rho_O"
 "rho_NOp"
 "rho_N2p"
 "rho_O2p"
 "rho_Np"
 "rho_Op"
 "rho_e"
 "U"
 "V"
 "T"
 "Tv"
 "rho"
 "P"
 "H"
 "tau"
 "gamma"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                   0.08                   0.045    0.000162311884009184    4.80891058464211E-05    5.65311900341597E-07    6.63731632636597E-08    9.92602139321065E-07    3.11377477871605E-10    1.27615891891188E-11    2.53773882098268E-10    3.11835549531829E-14    3.07710235903058E-12    1.04037251506248E-14        6120.04506738035        1119.55833908207        3458.66483387327        1319.96519691765    0.000212025884402627        212.122833519319        23047182.7251267     0.00260644441457998        1.26758001340506 
                   0.08      0.0448484848484848     0.00015953694213014    4.72148773105671E-05    5.80050840371483E-07    6.78878424471296E-08    1.01890742286976E-06    3.19247255426249E-10    1.30223128422279E-11    2.58444620932217E-10    3.28119763006101E-14    3.16258709384797E-12    1.06350968009522E-14        6107.92015568243         1113.7632690199        3499.51500370996        1351.78008524458    0.000208419287945221        210.876754405427        23018855.1398516     0.00253356587921059        1.26592943079434 
                   0.08      0.0446969696969697    0.000156762000251097     4.6340648774713E-05    5.94789780401369E-07    6.94025216305996E-08    1.04521270641845E-06    3.27117032980892E-10    1.32830364953371E-11    2.63115359766167E-10    3.44403976480372E-14    3.24807182866536E-12    1.08664684512796E-14         6095.7952439845        1107.96819895772        3540.36517354664        1383.59497357152    0.000204812691487814        209.630675291535        22990527.5545765      0.0024606873438412        1.26427884818363 
                   0.08      0.0445454545454545    0.000153987058372053     4.5466420238859E-05    6.09528720431256E-07    7.09172008140695E-08    1.07151798996714E-06    3.34986810535536E-10    1.35437601484462E-11    2.67786098600117E-10    3.60688189954643E-14    3.33355656348275E-12     1.1097840101607E-14        6083.67033228658        1102.17312889554        3581.21534338332        1415.40986189845    0.000201206095030408        208.384596177643        22962199.9693014     0.00238780880847181        1.26262826557292 
                   0.08      0.0443939393939394     0.00015121211649301     4.4592191703005E-05    6.24267660461141E-07    7.24318799975394E-08    1.09782327351583E-06    3.42856588090179E-10    1.38044838015553E-11    2.72456837434066E-10    3.76972403428914E-14    3.41904129830013E-12    1.13292117519344E-14        6071.54542058866        1096.37805883337           3622.06551322        1447.22475022538    0.000197599498573001        207.138517063751        22933872.3840263     0.00231493027310243         1.2609776829622 
                   0.08      0.0442424242424242    0.000148437174613966    4.37179631671509E-05    6.39006600491027E-07    7.39465591810093E-08    1.12412855706452E-06    3.50726365644822E-10    1.40652074546645E-11    2.77127576268016E-10    3.93256616903185E-14    3.50452603311752E-12    1.15605834022618E-14        6059.42050889073        1090.58298877119        3662.91568305669        1479.03963855232    0.000193992902115595         205.89243794986        22905544.7987512     0.00224205173773304        1.25932710035149 
                   0.08      0.0440909090909091    0.000145955139006275    4.29329719767311E-05    6.53605743487738E-07    7.53800730090743E-08    1.15017115748438E-06    3.58425401640471E-10    1.43030982773137E-11     2.8148000201752E-10    4.10123639546898E-14      3.589648998919E-12    1.17834826067804E-14        6045.80031466619        1084.90807643108        3703.87741978763        1511.71366120795    0.000190767963915892        204.792902374756        22869928.9485675     0.00217870753924046        1.25791326751154 
                   0.08      0.0439393939393939    0.000143750000473283    4.22326405277678E-05    6.67943846923192E-07    7.67164950695125E-08    1.17570904882563E-06     3.6587721231879E-10    1.45169794187788E-11    2.85482699051003E-10    4.26777603396167E-14    3.67352343535751E-12    1.19957874440204E-14        6030.91421972723        1079.46328193405        3744.88977819179        1544.89330237995    0.000187903715261523        203.858494830713        22828132.1406296     0.00212128667917579        1.25670391171257 
                   0.08      0.0437878787878788     0.00014154486194029    4.15323090788045E-05    6.82281950358647E-07    7.80529171299508E-08    1.20124694016688E-06    3.73329022997109E-10     1.4730860560244E-11    2.89485396084485E-10    4.43431567245435E-14    3.75739787179603E-12    1.22080922812604E-14        6016.02812478827        1074.01848743702        3785.90213659595        1578.07294355195    0.000185039466607154         202.92408728667        22786335.3326917     0.00206386581911112        1.25549455591359 
                   0.08      0.0436363636363636    0.000139339723407298    4.08319776298412E-05    6.96620053794101E-07    7.93893391903891E-08    1.22678483150813E-06    3.80780833675428E-10    1.49447417017091E-11    2.93488093117968E-10    4.60085531094703E-14    3.84127230823454E-12    1.24203971185004E-14        6001.14202984931        1068.57369293998        3826.91449500012        1611.25258472396    0.000182175217952786        201.989679742627        22744538.5247538     0.00200644495904645        1.25428520011462 
