VARIABLES = "X"
 "Y"
 "rho_N2"
 "rho_O2"
 "rho_NO"
 "rho_N"
 "rho_O"
 "rho_NOp"
 "rho_N2p"
 "rho_O2p"
 "rho_Np"
 "rho_Op"
 "rho_e"
 "U"
 "V"
 "T"
 "Tv"
 "rho"
 "P"
 "H"
 "tau"
 "gamma"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
       1.08585858585859                     0.1      0.0567591261297337       0.017392209499382    2.18356244011122E-17     2.2258807851677E-22    5.73381099404883E-18    1.07250332738621E-17    8.03141506328797E-30    5.52055127806242E-20    2.95983110833094E-26    1.81761687834296E-19    5.15756655803032E-26        3398.92253481511       -265.700659557774        535.653116136157        327.243115388394      0.0741513308701373        11468.0929445955        6353536.97456509       0.117364174177696        1.39582787421126 
       1.10606060606061                     0.1      0.0586768528788866      0.0179798442598185    2.29981120858315E-17    3.02270719428485E-22     6.0397509605625E-18    1.12974753310628E-17    6.17803427100044E-30    6.24224918178326E-20     4.6493467192374E-21    1.90625799103559E-19    5.36325039284019E-26        3397.37460826408       -246.929709830604        547.240163210727        327.892897867665      0.0766566977599088        12109.3326439619        6355143.79176223      0.0970772571300734        1.39578176242417 
       1.12626262626263                     0.1      0.0605643782044168      0.0185582203673523    2.42341209770633E-17    4.25201253437544E-22    6.35988097208903E-18    1.18965576024023E-17    7.39469101346504E-30    7.09345642854525E-20     5.8116859571309E-21    2.09698376088838E-19    5.56357547855714E-26        3395.92956023695        -229.20583475029        558.063889952893        328.605573999084      0.0791226001857271        12746.5860158641        6356960.10733964      0.0817874225652582        1.39573082745046 
       1.14646464646465                     0.1      0.0624148336641239       0.019125238689534    2.55002898871307E-17    5.52088685716799E-22    6.68866622897916E-18    1.25119161897827E-17    8.46271634779316E-30    8.04486571190538E-20    3.48702409527107E-21    2.26131422894209E-19    5.75777640734803E-26        3394.56962622405       -212.353506726661        568.267673739485        329.363018390505      0.0815400735541415        13375.2574575669        6358896.59048848      0.0695890837748791        1.39567592953901 
       1.16666666666667                     0.1      0.0642212046698953      0.0196787507197734    2.67723370982578E-17    6.61254720050751E-22    7.02257830057985E-18     1.3136917077613E-17    5.31999414478505E-30     9.0998718835306E-20    1.16234554100989E-21    2.33604088187419E-19    5.94502157671672E-26        3393.29645877727       -196.388863125616        577.853455301225        330.163326267449       0.083899954108313        13992.5046580795        6360931.53223503      0.0598632344821283         1.3956172647456 
       1.18686868686869                     0.1      0.0659906405654601      0.0202209467903422    2.80400189602423E-17    7.48882061609475E-22    7.35854396252342E-18    1.37657575372369E-17    4.17305553067886E-30     1.0211346189182E-19    5.81166132135631E-21    2.32705212264774E-19    6.12464122153804E-26        3392.09064618237       -181.105428302712        586.974992107331        330.991606322003      0.0862115766383595        14599.7983253294        6363042.89164485      0.0518556045676167        1.39555684240261 
       1.20707070707071                     0.1      0.0676907734459666      0.0207418975222884    2.92938388702791E-17    8.23582557130859E-22    7.69278412524802E-18    1.43913990923933E-17    6.60810137122719E-30    1.14936511791911E-19    6.07030293715956E-21    2.27773480396967E-19    6.29736600921512E-26        3390.98991577521       -166.961610669087        595.348613180634        331.872196220805      0.0884326648020488         15187.638170277        6365232.58335463      0.0457549417409868        1.39549164669794 
       1.22727272727273                     0.1      0.0693227446276524      0.0212419704373214    3.05918158723481E-17    9.69808636127345E-22    8.03201313146548E-18    1.50264951285564E-17    7.08671851616526E-30    1.29850694484009E-19    2.84198121736904E-21    2.38177246909098E-19    6.46447817682711E-26        3389.98142195257       -153.844801940454        603.055047781907        332.801784083327       0.090564714982079        15755.1678893588         6367447.9246609      0.0408985916637877        1.39542229012106 
       1.24747474747475                     0.1      0.0708980439218974      0.0217246787472281    3.19617301138514E-17    1.19677457657106E-21    8.38254101746507E-18    1.56828376055587E-17    4.59717500789153E-30    1.46500479769685E-19     2.8420033113883E-21     2.6493416952987E-19    6.62596777394713E-26        3389.03995726612       -141.501194981325        610.269309136125        333.764289394491      0.0926227271404771        16305.1091848508        6369657.64507855      0.0368253298028652        1.39534968070745 
       1.26767676767677                     0.1      0.0724155538929336      0.0221896764989018    3.33977694308195E-17    1.47926067352842E-21    8.74566978909888E-18    1.63628391247405E-17    5.94923129626846E-30    1.65040234044337E-19    6.32899294975483E-21     3.0146459397551E-19    6.78387868169385E-26         3388.1620436005       -129.900385658402        617.017606722201        334.757607000016      0.0946052342429775        16836.8486779531         6371850.4373593      0.0334000960119301        1.39527381847249 
       1.28787878787879                     0.1      0.0738926123485817      0.0226422741041397     3.4859560070794E-17    1.76104742442293E-21    9.11726290298131E-18    1.70587149303928E-17    7.83606871576457E-30    1.84684014605187E-19    6.32897207380224E-21     3.3375059373273E-19    6.94401376649098E-26        3387.32891620324       -118.818897455983        623.440833487852        335.770523457395      0.0965348859164114        17355.9671629181        6374036.15884283       0.030425984921832        1.39519602354538 
       1.30808080808081                     0.1      0.0752886094480755      0.0230700391646624    3.62788743773053E-17    1.95951531644539E-21    9.48698000360467E-18    1.77510455496967E-17    6.20431476921877E-30    2.07021604432607E-19    6.32897207380224E-21    3.47335588615148E-19    7.11465723597761E-26        3386.57641125955        -108.64109290561        629.297491759493        336.819056421109      0.0983586575953799         17848.737622827        6376174.39825362      0.0280239318633327         1.3951149440926 
       1.32828282828283                     0.1      0.0766041660547997      0.0234731568881006    3.76553123554823E-17    2.11723139081508E-21    9.84971031644578E-18    1.84303039431074E-17    4.12223073088881E-26    2.33020210964495E-19    6.32897162507577E-21    3.53210265185576E-19    7.29532765131864E-26        3385.89543054478       -99.2883136864603        634.639143680345        337.899859717746       0.100077337803119        18314.6238311973        6378240.17244572      0.0260326867171079        1.39502992652437 
       1.34848484848485                     0.1      0.0778578547646362      0.0238573152842953    3.90040067108232E-17    2.26588538956234E-21    1.02056742212378E-17    1.90969706746581E-17    8.30566665608133E-26    2.61481838987861E-19    6.32897133790923E-21    3.58587509204541E-19    7.48741319565836E-26        3385.26584790931       -90.5334264345069        639.610577317107        339.000971045456       0.101715194016651        18759.5382100795        6380240.55688275      0.0243062143932767        1.39494275804269 
       1.36868686868687                     0.1      0.0790504652159264       0.024222756258881    4.03450027375643E-17    2.43626257219421E-21    1.05573940179659E-17    1.97558530925924E-17    4.24916009592084E-26    2.93580571402853E-19    6.32897133790923E-21    3.68914227585428E-19     7.6899735472606E-26        3384.68426712998       -82.3498111335431        644.233481554662        340.120623264344       0.103273256326746        19183.6260519027        6382171.30950022      0.0228068744421918        1.39485343865652 
       1.38888888888889                     0.1       0.080203536052933      0.0245760806108529    4.17066973426175E-17    2.66558220158441E-21    1.09096462922811E-17    2.04159832351447E-17    1.27334764030622E-27    3.30712240749325E-19     6.3289774345676E-21    3.89835203509845E-19    7.90247175974858E-26        3384.13377441671       -74.5540898311268        648.621527426722        341.250304631733       0.104779663434493        19594.2684566487         6384057.0113938      0.0214643062181222        1.39476213878002 
       1.40909090909091                     0.1      0.0812772329907725       0.024905086422682    4.31030251910932E-17    2.94689549349751E-21    1.12675126876427E-17    2.10869879321872E-17    4.08116733271043E-26    3.72164414049006E-19    1.07196559403928E-20    4.17952891663883E-19    8.11866026190823E-26        3383.63845809574       -67.4525028426319        652.613411334105        342.400418298242       0.106182310718411        19978.0497255531        6385853.90279917      0.0203368409289577        1.39466841275742 
       1.42929292929293                     0.1      0.0822710593440313      0.0252096167082147    4.44990183262212E-17    3.20777191995052E-21    1.16275584447802E-17    2.17621401166703E-17    8.09573819954123E-26    4.17982002417689E-19    1.16233530348354E-20    4.41944185057697E-19    8.32796616810996E-26        3383.19393914328       -60.9912336443047        656.236359300016        343.570689868432       0.107480640042818        20334.4080628312        6387552.55275319      0.0193771686160303        1.39457136885979 
       1.44949494949495                     0.1       0.083206621412673      0.0254962909613109    4.58769168489185E-17    3.41996393024563E-21    1.19869354677905E-17    2.24365785939802E-17    5.16674378706287E-21    4.66098595916485E-19    1.16233602140426E-20    4.57786496128796E-19    8.52749298123448E-26        3382.78551699398       -54.9807798042322        659.593296598673        344.752793984114       0.108702906084818        20670.4154996699        6389170.51531894      0.0185285291440501        1.39447236440286 
       1.46969696969697                     0.1      0.0840852336174222      0.0257655145846986     4.7228128694482E-17     3.5673999751755E-21    1.23437213489487E-17    2.31065769834912E-17    1.26794088358934E-20    5.19539410294089E-19     1.3948013773172E-20    4.63522116797611E-19    8.71242383855343E-26        3382.41159732633       -49.3989085462787        662.693198148887        345.945731353257       0.109850793274125         20986.289946889        6390703.52359709      0.0161484207832954        1.39437159022366 
       1.48989898989899                     0.1      0.0849274709989469      0.0260235999401719    4.85603414196844E-17     3.6655095107539E-21    1.26975202108114E-17    2.37709724403098E-17     1.2753105931878E-20    5.82903908880521E-19    2.32466169248911E-20    4.61623443873557E-19    8.88147047363421E-26        3382.06096044191       -44.0962889943655         665.62108935883        347.142526328012       0.110951097630428        21289.2578740366        6392181.52399554     0.00874054470124177        1.39426989579454 
       1.51010101010101                     0.1      0.0856976807434576      0.0262596078584696    4.99173593276644E-17        3.8036868877E-21    1.30498649202036E-17    2.44315204276709E-17    2.93754759260275E-21    6.58000193135549E-19    1.39480153250402E-20    4.69177149843621E-19    9.01717098627717E-26        3381.75111983183       -39.3116316540287        668.244500546491        348.351161122524       0.111957297994034        21566.6100772805        6393547.66366718      0.0148158135032401         1.3941656841597 
       1.53030303030303                     0.1      0.0863973111318748      0.0264739879301182    5.12681938236106E-17    3.91521956217601E-21    1.34006299411801E-17    2.50888485138475E-17    7.53090165814764E-21    7.39010228269373E-19    1.16233602140426E-20    4.73350783456031E-19    9.12499472229244E-26        3381.47686037525       -35.0154907586782        670.588028817504        349.573530480434       0.112871317353835        21818.7818240373        6394800.82499036      0.0160185056145524        1.39405881724993 
       1.55050505050505                     0.1      0.0870478526607901      0.0266733251183855    5.26428335732872E-17    4.02734326254334E-21    1.37532307042382E-17    2.57497595537326E-17    1.26969241171499E-20    8.30093880630313E-19    1.16233602140426E-20    4.77647192341227E-19    9.20880213042499E-26        3381.22665474887       -31.0551373956556        672.742074916304        350.803272263073       0.113721188789284        22053.4284862244        6395974.30052934      0.0155736594938277        1.39395051964131 
       1.57070707070707                     0.1      0.0876511066607771      0.0268581729932978     5.4024311379417E-17    4.11856694942825E-21    1.41064626611402E-17    2.64118684684136E-17    9.91036737261126E-21    9.32901181961646E-19    1.13647165789981E-20    4.80154655410752E-19    9.27004194590389E-26        3380.99885914315       -27.4137966477664        674.718866150332        352.039957834023       0.114509263516493           22271.2084819        6397071.00144086      0.0151767717436101        1.39384056351917 
       1.59090909090909                     0.1      0.0882245873506681      0.0270339032643353    5.53817608452222E-17    4.16672945232281E-21    1.44587529604892E-17    2.70722931999854E-17    9.53186077096828E-23    1.04197955470533E-18    1.11060766850839E-20     4.7812485078117E-19    9.31108473155278E-26        3380.78521910902       -23.9778362322211         676.58409444286        353.277262290461       0.115258461066406        22478.4917059363        6398122.24971659      0.0148115316362942        1.39372915210993 
       1.61111111111111                     0.1      0.0887390795996775      0.0271915525772058    5.66175094276098E-17    4.12833724172053E-21     1.4791172995854E-17    2.76926816134089E-17    9.83852985993413E-21    1.14329687698258E-18    1.11060719732961E-20    4.67158407965087E-19     9.3351433131486E-26        3380.59904048427       -20.9233392482461        678.237663402309        354.522981844916       0.115930659744088        22664.6579785903        6399077.72576877      0.0144981045428772        1.39361620896548 
       1.63131313131313                     0.1       0.089196498786583      0.0273317141342928    5.78209111934507E-17    4.15870847891621E-21    1.51128681644483E-17     2.8290904792831E-17    1.27621732060517E-20    1.25506777959645E-18    4.39075349381892E-21     4.6565207904577E-19    9.35412065841866E-26        3380.43791919776       -18.2258826901802        679.691400543508        355.780313466503       0.116528224552175        22830.2256117908        6399935.58558238      0.0142292988837217        1.39350049660491 
       1.65151515151515                     0.1      0.0896155914490901      0.0274601336336474    5.90290806276571E-17     4.2665513786724E-21    1.54353962202595E-17    2.88900028246627E-17    7.66441996767877E-21    1.36680640815713E-18    4.64939787782829E-21    4.71355914881375E-19    9.36848868323314E-26        3380.29342451119       -15.7658034264787         681.01210474619        357.043538294859       0.117075707911473        22981.9384813845        6400727.16182513      0.0139894699608735        1.39338294828833 
       1.67171717171717                     0.1      0.0899983277557788      0.0275774144608695    6.02477658836197E-17    4.39881103385138E-21    1.57628886618332E-17    2.94981334568717E-17    4.78880661134101E-21    1.46825389934077E-18    1.16233602140426E-20    4.78604488090506E-19    9.37854060855518E-26        3380.16414075054       -13.5285917369532        682.207936110282        358.312735164416       0.117575706457887           23120.4847999        6401455.07669985      0.0137760179733208        1.39326366985796 
       1.69191919191919                     0.1      0.0903579657376425      0.0276876156221308     6.1486456444082E-17    4.53073356554328E-21    1.60955979667144E-17     3.0116326351846E-17    2.32484029892704E-20    1.54885796006873E-18    1.16233602140426E-20    4.87431535271939E-19    9.38650050780766E-26        3380.04400838546       -11.4334786537503        683.323357933048        359.582126070808       0.118045552054835        23250.6725511245        6402143.40009424      0.0135799681130404        1.39314415740481 
       1.71212121212121                     0.1      0.0906739132367729      0.0277844279430239    6.27459676029095E-17     4.6216856211361E-21    1.64351641112654E-17    3.07469845855224E-17    2.33843983231258E-20    1.64071739807904E-18    1.16233602140426E-20    4.92650952894481E-19    9.39214269446195E-26        3379.94244029366        -9.6021145916821        684.291990898343        360.858860539356       0.118458324871439        23364.9764145002        6402752.79556593      0.0134128842930215        1.39302158743743 
       1.73232323232323                     0.1      0.0909491207057303      0.0278687556679385    6.40210300784174E-17     4.6932380065281E-21    1.67796390363649E-17    3.13858367872089E-17     9.4708319735525E-21    1.71514096969513E-18    1.16233602140426E-20    4.96359630997356E-19    9.39578020552342E-26        3379.85536315521        -8.0145151649139        685.127376305784        362.145525019555       0.118817891434634        23464.4652810753         6403287.2074985      0.0132707763474389        1.39289682048451 
       1.75252525252525                     0.1      0.0911978832494566      0.0279449823979764    6.53090921603396E-17     4.7450071006367E-21    1.71282277974149E-17    3.20320906997022E-17    9.40287119542213E-21     1.7719000549689E-18    1.16233602140426E-20    4.98391619296375E-19    9.39978833993615E-26        3379.77780069868       -6.58523529665761        685.877147410808        363.435495894027         0.1191428959421        23554.3451428358         6403772.5804992      0.0131445456375272        1.39277049842497 
       1.77272727272727                     0.1      0.0914219809874932      0.0280136526139437    6.66065386719007E-17    4.78154482767247E-21    1.74796397116591E-17    3.26830761897339E-17    2.32783140160572E-20     1.8289147680996E-18    1.16233602140426E-20     4.9919104341047E-19    9.40477343711372E-26        3379.70931351853       -5.30315086362859        686.547847479639        364.727847227715       0.119435652562427        23635.2633554499        6404212.11433047       0.013032727123631         1.3926426450955 
