VARIABLES = "X"
 "Y"
 "rho_N2"
 "rho_O2"
 "rho_NO"
 "rho_N"
 "rho_O"
 "rho_NOp"
 "rho_N2p"
 "rho_O2p"
 "rho_Np"
 "rho_Op"
 "rho_e"
 "U"
 "V"
 "T"
 "Tv"
 "rho"
 "P"
 "H"
 "tau"
 "gamma"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                   2.25                       0      0.0513713244273743      0.0157389165810115    1.05502372055265E-08    4.29921234801484E-15    3.72241967001833E-07    6.01870154547594E-37                       0    6.01853107621011E-36                       0   -5.41666092166252E-36                       0   -3.55268852197715E-16   -1.95155741970561E-19                     875                     875      0.0671106234094508        16926.0437475327        910504.381255488     0.00247282034193476        1.30519508123702 
                   2.25     0.00353535353535354      0.0248889146271744     0.00762550842510558    7.65809685108751E-10    1.30249293240945E-14    3.49531962293707E-08    1.37165737901614E-17    2.37207427326991E-23    2.78724326774327E-18    1.68773165559083E-27    2.61911629949156E-19    2.29824941966988E-25         3883.5156965659        3.62728800692938        1811.43296926527        1592.70974942815      0.0325144598735765        16951.7132830964        9521139.53207521    0.000290006425834754        1.25232408265671 
                   2.25     0.00707070707070707      0.0386593894700523      0.0118445729511225    1.76179373132706E-10    8.03126639055428E-19    9.00543723663929E-09    2.49853094511874E-17     1.3757717583801E-26     1.9656488721975E-18    1.20064497971753E-21    6.07427815864252E-19    6.66035760386951E-26        4218.97232023982        5.22001624298759        1163.98373334275        1022.83919248222      0.0505039720361295        16936.1650068447        10121654.8901137     0.00162973007149065        1.28880845529987 
                   2.25      0.0106060606060606      0.0446053832162152      0.0136663269442548    5.72836820933884E-11    1.99162546150929E-20    3.15325143646583E-09    2.78614125563172E-17     2.1873350900133E-28    1.12009789711716E-18     1.1679966535382E-21    6.06013413362677E-19    2.68112356401472E-25        4314.32765899681        5.64141063116935        1008.20509453584        803.980240383446      0.0582717162527566         16931.096368037        10344782.1644721     0.00300583802486028        1.31714110465841 
                   2.25      0.0141414141414141      0.0474196356722415      0.0145285674634932    2.22795873368313E-11    1.67617674146271E-20    1.29721809664448E-09    2.84338586639196E-17    2.74120891099659E-29    7.05746070347815E-19    1.16448180986297E-21    5.58725635489185E-19    3.09885757472388E-25        4353.20169225484        5.82345345562518        948.200874831304        696.122312708883       0.061948208448639        16930.0222663801        10443579.0696763     0.00393954299484995        1.33556296027073 
                   2.25      0.0176767676767677      0.0488619176641868      0.0149704580352871    9.75972451017462E-12     1.3926159670648E-20    5.94324092726285E-10    2.85792420364747E-17    8.84374185010324E-30    4.99600715889895E-19    1.16361687832539E-21    4.87091466383219E-19    2.99403505784006E-25        4371.66787995549         5.9188835005361        920.193664004014        637.439653158254      0.0638323739592467        16930.1811032905         10492105.192933     0.00450698791923808        1.34665081499004 
                   2.25      0.0212121212121212      0.0496512620708433       0.015212297309686    4.62252666627004E-12    1.18773628591367E-20    2.92482071033853E-10    2.87372489294239E-17    4.42523979093632E-30    3.90534005504198E-19    2.64959682529868E-21    4.23379959014437E-19    2.57185571500759E-25        4381.32468546603        5.97382111972581        905.581399755454        603.140100741072        0.06486356118255         16930.793236555        10517811.1666939     0.00484538180764388        1.35333324447527 
                   2.25      0.0247474747474747      0.0501119602141352      0.0153534489800144     2.2797352012657E-12    1.33526462366905E-20      1.493538048606E-10    2.89862717979336E-17    3.71667902164402E-30    3.29597640521734E-19    1.13715869120657E-20    4.87517055786682E-19    2.00558812294478E-25        4386.78689874088        6.00719507550775        897.288177130025        581.430435905086      0.0654654180336408        16931.5647104967          10532389.44265     0.00505211513213504        1.35758804692328 
                   2.25      0.0282828282828283      0.0503744286518764      0.0154338699779223    1.22496614821293E-12    1.45067309997669E-20    8.25301942422136E-11    2.91725385123276E-17    3.45952781907411E-30    2.93162528622442E-19    1.16240754258405E-20    5.35177647625112E-19    1.64481528732245E-25        4389.82115356286        6.02615365654213        892.658600408921        567.353885141468      0.0658082986458146        16932.4216273268        10540444.0571826     0.00517286852510255        1.36033911907661 
                   2.25      0.0318181818181818      0.0505387543809967      0.0154842138086068    6.78939801635706E-13    1.47603099157656E-20    4.69200133364598E-11    2.92654983916249E-17    3.19302544704603E-30    2.67726001048668E-19    1.16240368288126E-20    5.47944543336575E-19    1.43662502585166E-25        4391.68683081346        6.03698192412015        889.801610378196        556.993350557795      0.0660229693042104        16933.2992355032        10545349.2159409     0.00524910050189014        1.36235409943251 
