VARIABLES = "X"
 "Y"
 "rho_N2"
 "rho_O2"
 "rho_NO"
 "rho_N"
 "rho_O"
 "rho_NOp"
 "rho_N2p"
 "rho_O2p"
 "rho_Np"
 "rho_Op"
 "rho_e"
 "U"
 "V"
 "T"
 "Tv"
 "rho"
 "P"
 "H"
 "tau"
 "gamma"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                   2.25                       0     0.00187525476652508    0.000575903272983344    1.32557552399717E-14    3.04945546972776E-17    2.87569709692304E-12                       0                       0                       0                       0    -1.3541653918447E-36                       0   -4.99598788779861E-17   -3.81163672131865E-22                     875                     875     0.00245115831308229        618.172460468313                  910380      0.0762920335657758        1.30641603469849 
                   2.25     0.00353535353535354    0.000612291876930379    0.000188038895474201    4.51572979950997E-15    6.16546123220266E-17    9.95318354510326E-13    1.78028702261385E-19    1.72551943559069E-21    2.98785227836221E-20    2.42433540353557E-28    2.88121994568345E-19    6.78921522968031E-24        1392.43079310896       -0.72789380689017        2681.06401596843        1225.53020617693    0.000800330734494967        618.307374433304        3753001.45617672      0.0019710121001669        1.27117583013098 
                   2.25     0.00707070707070707    0.000533992553764217    0.000163992679167907    3.77744272064398E-15    1.19562193731412E-16    9.02748647137669E-13     2.6059163669171E-19    2.99938065825117E-21    3.53189881495801E-20    6.29019179075074E-31    3.20286207108999E-19    6.50053817764265E-24         2372.6294696186        0.29340227176125        3073.96716042259        1308.18082354027    0.000697985220563058        618.406198266807         6015608.8062508     0.00125671516096995        1.26578224177624 
                   2.25      0.0106060606060606    0.000547910548659764     0.00016826693984257    2.84029500627569E-15    8.76380661309113E-17    6.98523876800378E-13    3.87030186000475E-19    3.09668804216844E-21    4.33978626622187E-20    1.18895593278206E-30    4.20526896072429E-19    4.11454353573965E-24        3184.10392353484        5.32253225035877        2996.23511860075        1278.96250780286    0.000716177530348741        618.405783802178        8193538.67626655     0.00136730279455702        1.26760650239664 
                   2.25      0.0141414141414141    0.000617717506175394    0.000189705133260258    1.74490236400875E-15    3.10066948029131E-17     4.2306474144377E-13     5.9712412487564E-19    2.21596631887543E-21    5.53067286751587E-20    1.01401858353409E-28    6.03432057967561E-19     1.5114938185485E-24         3772.8164700415        9.71742617413991        2662.55061426183        1166.94615166973    0.000807422615604902        619.005838443232        9889009.80377646     0.00204090105916119        1.27565254198482 
                   2.25      0.0176767676767677    0.000747501264878673    0.000229562561182814    9.96659426425687E-16    8.83168642072175E-18    2.44300516719621E-13    9.42240345087577E-19    1.00120960431902E-21    7.35303850706207E-20    7.49351047255336E-27    9.04959699742248E-19    4.14234363074129E-25        4151.94807025442        14.3708602107813        2208.29069853341        998.578115439012    0.000977063724147951        620.225102960478        10907123.8888642     0.00397414955486584        1.29158226217341 
                   2.25      0.0212121212121212    0.000939138116505608    0.000288415491034211    5.62454203306192E-16    2.63600465100224E-18    1.40264630232449E-13    1.47689647371568E-18    3.41066965813102E-22    1.00538767786768E-19    8.26971333721084E-25    1.37182262922934E-18    1.03759870964509E-25        4383.67941945288        18.5724095211207        1765.85420899837        842.293094953969     0.00122755393675063         621.72277066716        11427054.8687158       0.009316524904543        1.31156911389808 
                   2.25      0.0247474747474747     0.00118157389022751    0.000362869178365328    3.17612426093477E-16    8.62611784625106E-19    7.99232434302462E-14    2.22848626823004E-18    8.62695224813083E-23    1.29480801984075E-19    6.01631512808556E-23    2.01747603049397E-18    9.01508853852133E-26        4527.49414455265         22.025140118973        1400.00156856163        723.732248956488     0.00154444342960921        622.570970386372        11683487.8556515       0.022182013503365        1.33065979003893 
                   2.25      0.0282828282828283     0.00142199592731918    0.000436704401107785    1.90289293892964E-16    3.72353426373093E-19    4.73681696084068E-14    3.12485388145462E-18    1.89315486118882E-23    1.44551556907251E-19    1.05695546867466E-21    2.66264312423062E-18    3.13811140144289E-25        4614.51286116434        24.4353674813672        1163.77404133878        638.252533862948     0.00185870070563954        621.618170829809        11834858.4976335      0.0477877693964506        1.34653594027636 
                   2.25      0.0318181818181818      0.0016207579514343    0.000497745493314965    1.18814475059817E-16    1.99692927937057E-19    2.84809995725052E-14    3.92701257971307E-18    3.02173880028288E-24    1.44098984303533E-19      1.271190744165E-21    3.09552902587346E-18    3.45334939410565E-25        4672.69137420818        25.9907808821553        1019.00753550716        573.234664862859     0.00211850357330083        620.733472039602        11953906.9834372       0.082737531132336        1.35912543491488 
