VARIABLES = "X"
 "Y"
 "rho_N2"
 "rho_O2"
 "rho_NO"
 "rho_N"
 "rho_O"
 "rho_NOp"
 "rho_N2p"
 "rho_O2p"
 "rho_Np"
 "rho_Op"
 "rho_e"
 "U"
 "V"
 "T"
 "Tv"
 "rho"
 "P"
 "H"
 "tau"
 "gamma"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                   2.25                       0     0.00324561004526913        10.4070196151733    0.000439129595179111    4.46656489572206E-09       0.186501696705818                       0                       0                       0                       0                       0                       0                       0    3.99679031023889E-16                     875                     875        10.5972003936768                 2451772                 1122222    9.50945366895439E-09        1.24613201618195 
                   2.25     0.00353535353535354    0.000993663617582407        3.05160651569786    1.24470461604331E-14    1.00082292518755E-19    1.48764167486067E-11                       0                       0                       0                       0                       0                       0        4862.43310546875       -729.662378019482        426.455542077029        341.072188683873        3.05260021302855           341034.732883        12478475.0104834     0.00655945541138633         1.3813425137786 
                   2.25     0.00707070707070707    0.000788001348818115        2.42000445119155    5.31187572936049E-18    3.63987105161896E-21    6.69675737013571E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377404187602        322.884230402169        322.884002685547        2.42079242459549        203099.403583922                12483370      0.0339899462888677        1.38555705547333 
                   2.25      0.0106060606060606    0.000788000004831702        2.42000007629395    4.64389463499915E-18    7.73289788735945E-24    2.47398258716334E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377990722656        322.884002685547        322.884002685547        2.42078804969788            203098.90625                12483370      0.0339902006089687        1.38555705547333 
                   2.25      0.0141414141414141    0.000788000004831702        2.42000007629395    4.56133301598258E-18    2.33900606342184E-26    2.43090288574207E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377990722656        322.884002685547        322.884002685547        2.42078804969788            203098.90625                12483370      0.0339902006089687        1.38555705547333 
                   2.25      0.0176767676767677    0.000788000004831702        2.42000007629395     4.5574820922545E-18    4.93377705665802E-26    2.42995873761675E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377990722656        322.884002685547        322.884002685547        2.42078804969788            203098.90625                12483370      0.0339902006089687        1.38555705547333 
                   2.25      0.0212121212121212    0.000788000004831702        2.42000007629395    4.53714240830199E-18    3.14098299912958E-26    2.41939357324186E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377990722656        322.884002685547        322.884002685547        2.42078804969788            203098.90625                12483370      0.0339902006089687        1.38555705547333 
                   2.25      0.0247474747474747    0.000788000004831702        2.42000007629395    4.50311627803922E-18    3.11214298691398E-26    2.40097904532154E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377990722656        322.884002685547        322.884002685547        2.42078804969788            203098.90625                12483370      0.0339902006089687        1.38555705547333 
                   2.25      0.0282828282828283    0.000788000004831702        2.42000007629395    4.49092361983111E-18    5.23068176421478E-21    2.39433973119431E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377990722656        322.884002685547        322.884002685547        2.42078804969788            203098.90625                12483370      0.0339902006089687        1.38555705547333 
                   2.25      0.0318181818181818    0.000788000004831702        2.42000007629395    4.48190126376357E-18    2.86058738442136E-21    2.38973026468203E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377990722656        322.884002685547        322.884002685547        2.42078804969788            203098.90625                12483370      0.0339902006089687        1.38555705547333 
                   2.25      0.0353535353535354    0.000788000004831702        2.42000007629395    4.43741279505374E-18    7.32809744554761E-29     2.3662839668885E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377990722656        322.884002685547        322.884002685547        2.42078804969788            203098.90625                12483370      0.0339902006089687        1.38555705547333 
                   2.25      0.0388888888888889    0.000788000004831702        2.42000007629395     4.4146755766884E-18    2.90610926039001E-22    2.35436737950055E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377990722656        322.884002685547        322.884002685547        2.42078804969788            203098.90625                12483370      0.0339902006089687        1.38555705547333 
                   2.25      0.0424242424242424    0.000788000004831702        2.42000007629395    4.40358985953465E-18    8.75650848595307E-22     2.3485986779582E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377990722656        322.884002685547        322.884002685547        2.42078804969788            203098.90625                12483370      0.0339902006089687        1.38555705547333 
                   2.25       0.045959595959596    0.000788000004831702        2.42000007629395    4.38958958077892E-18    8.85142303055002E-22    2.34123930273941E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377990722656        322.884002685547        322.884002685547        2.42078804969788            203098.90625                12483370      0.0339902006089687        1.38555705547333 
                   2.25      0.0494949494949495    0.000788000004831702        2.42000007629395    4.37071775633259E-18    8.95125264558727E-22    2.33130154882069E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377990722656        322.884002685547        322.884002685547        2.42078804969788            203098.90625                12483370      0.0339902006089687        1.38555705547333 
                   2.25       0.053030303030303    0.000788000004831702        2.42000007629395    4.38972921138322E-18    3.14852050443512E-22    2.34158324914012E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377990722656        322.884002685547        322.884002685547        2.42078804969788            203098.90625                12483370      0.0339902006089687        1.38555705547333 
                   2.25      0.0565656565656566    0.000788000004831702        2.42000007629395    4.40085616624375E-18    3.12671204075673E-22    2.34768482319418E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377990722656        322.884002685547        322.884002685547        2.42078804969788            203098.90625                12483370      0.0339902006089687        1.38555705547333 
                   2.25      0.0601010101010101    0.000788000004831702        2.42000007629395    4.38093412988276E-18    3.04494781672109E-22    2.33724354567292E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377990722656        322.884002685547        322.884002685547        2.42078804969788            203098.90625                12483370      0.0339902006089687        1.38555705547333 
                   2.25      0.0636363636363636    0.000788000004831702        2.42000007629395    4.38818561680924E-18    5.88814809823714E-22    2.34121903464778E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377990722656        322.884002685547        322.884002685547        2.42078804969788            203098.90625                12483370      0.0339902006089687        1.38555705547333 
                   2.25      0.0671717171717172    0.000788000004831702        2.42000007629395    4.40617280526218E-18    5.81654151630916E-22    2.35083882083124E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377990722656        322.884002685547        322.884002685547        2.42078804969788            203098.90625                12483370      0.0339902006089687        1.38555705547333 
                   2.25      0.0707070707070707    0.000788000004831702        2.42000007629395    4.40244577967889E-18    2.90611079333697E-22    2.34862107221377E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377990722656        322.884002685547        322.884002685547        2.42078804969788            203098.90625                12483370      0.0339902006089687        1.38555705547333 
                   2.25      0.0742424242424242    0.000788000004831702        2.42000007629395    4.40065166557884E-18    1.87780105968125E-22    2.34732273083513E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377990722656        322.884002685547        322.884002685547        2.42078804969788            203098.90625                12483370      0.0339902006089687        1.38555705547333 
                   2.25      0.0777777777777778    0.000788000004831702        2.42000007629395    4.37537043271567E-18     2.2739178500936E-21    2.33350005090285E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377990722656        322.884002685547        322.884002685547        2.42078804969788            203098.90625                12483370      0.0339902006089687        1.38555705547333 
                   2.25      0.0813131313131313    0.000788000004831702        2.42000007629395    4.34737552383516E-18    4.88762914619867E-21    2.31818442091903E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377990722656        322.884002685547        322.884002685547        2.42078804969788            203098.90625                12483370      0.0339902006089687        1.38555705547333 
                   2.25      0.0848484848484848    0.000788000004831702        2.42000007629395    4.34219720645537E-18    5.81188845722109E-21     2.3153322752214E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377990722656        322.884002685547        322.884002685547        2.42078804969788            203098.90625                12483370      0.0339902006089687        1.38555705547333 
                   2.25      0.0883838383838384    0.000788000004831702        2.42000007629395    4.34646350414182E-18    5.81188845722109E-21    2.31781277282502E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377990722656        322.884002685547        322.884002685547        2.42078804969788            203098.90625                12483370      0.0339902006089687        1.38555705547333 
                   2.25      0.0919191919191919    0.000788000004831702        2.42000007629395    4.35012165056482E-18    5.81188690217443E-21    2.31987030940559E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377990722656        322.884002685547        322.884002685547        2.42078804969788            203098.90625                12483370      0.0339902006089687        1.38555705547333 
                   2.25      0.0954545454545454    0.000788000004831702        2.42000007629395    4.35653384698413E-18    5.81188690217443E-21    2.32373502227877E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377990722656        322.884002685547        322.884002685547        2.42078804969788            203098.90625                12483370      0.0339902006089687        1.38555705547333 
                   2.25       0.098989898989899    0.000788000004831702        2.42000007629395    4.36325149260427E-18    5.81188690217443E-21    2.32778878444716E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377990722656        322.884002685547        322.884002685547        2.42078804969788            203098.90625                12483370      0.0339902006089687        1.38555705547333 
                   2.25       0.102525252525253    0.000788000004831702        2.42000007629395    4.35949235393006E-18    5.81188690217443E-21    2.32598705537269E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377990722656        322.884002685547        322.884002685547        2.42078804969788            203098.90625                12483370      0.0339902006089687        1.38555705547333 
                   2.25       0.106060606060606    0.000788000004831702        2.42000007629395    4.33844436363133E-18    5.81188690217443E-21    2.31486273807351E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377990722656        322.884002685547        322.884002685547        2.42078804969788            203098.90625                12483370      0.0339902006089687        1.38555705547333 
                   2.25        0.10959595959596    0.000788000004831702        2.42000007629395    4.31739637333259E-18    5.81188690217443E-21    2.30373842077432E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377990722656        322.884002685547        322.884002685547        2.42078804969788            203098.90625                12483370      0.0339902006089687        1.38555705547333 
                   2.25       0.113131313131313    0.000788000004831702        2.42000007629395    4.30367854558899E-18    4.98787999299496E-21    2.29624435792777E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377990722656        322.884002685547        322.884002685547        2.42078804969788            203098.90625                12483370      0.0339902006089687        1.38555705547333 
                   2.25       0.116666666666667    0.000788000004831702        2.42000007629395    4.29476718827251E-18    3.23627186194629E-21    2.29090927310836E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377990722656        322.884002685547        322.884002685547        2.42078804969788            203098.90625                12483370      0.0339902006089687        1.38555705547333 
                   2.25        0.12020202020202    0.000788000004831702        2.42000007629395    4.28585583095602E-18    1.48466373089761E-21    2.28557418828896E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377990722656        322.884002685547        322.884002685547        2.42078804969788            203098.90625                12483370      0.0339902006089687        1.38555705547333 
                   2.25       0.123737373737374    0.000788000004831702        2.42000007629395    4.27453570744113E-18     1.2080956689389E-22    2.27902785323884E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377990722656        322.884002685547        322.884002685547        2.42078804969788            203098.90625                12483370      0.0339902006089687        1.38555705547333 
                   2.25       0.127272727272727    0.000788000004831702        2.42000007629395    4.26409346074449E-18     1.5358207216075E-21    2.27290395230326E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377990722656        322.884002685547        322.884002685547        2.42078804969788            203098.90625                12483370      0.0339902006089687        1.38555705547333 
                   2.25       0.130808080808081    0.000788000004831702        2.42000007629395    4.25392328760561E-18    3.12065614593333E-21    2.26689061863903E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377990722656        322.884002685547        322.884002685547        2.42078804969788            203098.90625                12483370      0.0339902006089687        1.38555705547333 
                   2.25       0.134343434343434    0.000788000004831702        2.42000007629395    4.24375311446673E-18    4.70549157025913E-21    2.26087728497481E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377990722656        322.884002685547        322.884002685547        2.42078804969788            203098.90625                12483370      0.0339902006089687        1.38555705547333 
                   2.25       0.137878787878788    0.000788000004831702        2.42000007629395    4.21632609209414E-18    5.23070940947907E-21    2.24641402520181E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377990722656        322.884002685547        322.884002685547        2.42078804969788            203098.90625                12483370      0.0339902006089687        1.38555705547333 
                   2.25       0.141414141414141    0.000788000004831702        2.42000007629395    4.15482345002275E-18    5.23070173632387E-21    2.21437063571246E-18                       0                       0                       0                       0                       0                       0        4862.43310546875       -857.377990722656        322.884002685547        322.884002685547        2.42078804969788            203098.90625                12483370      0.0339902006089687        1.38555705547333 
