VARIABLES = "X"
 "Y"
 "rho_N2"
 "rho_O2"
 "rho_NO"
 "rho_N"
 "rho_O"
 "rho_NOp"
 "rho_N2p"
 "rho_O2p"
 "rho_Np"
 "rho_Op"
 "rho_e"
 "U"
 "V"
 "T"
 "Tv"
 "rho"
 "P"
 "H"
 "tau"
 "gamma"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                   2.25                       0      0.0513713244273743      0.0157389165810115    1.05520449155748E-08    4.29924699170796E-15    3.72264081940461E-07                       0                       0                       0                       0                       0                       0    3.55268852197715E-16    1.95155741970561E-19                     875                     875      0.0671106234094508        16926.0437475327        910504.381255488     0.00247281722200149        1.30519508123702 
                   2.25     0.00353535353535354      0.0248889146271744     0.00762550842510558    7.65823997964603E-10    1.30249753393436E-14    3.49533024966384E-08                       0                       0                       0                       0                       0                       0         3883.5156965659        3.62728800692938        1811.43296926527        1592.70974942815      0.0325144598735765        16951.7132830964        9521139.53207521    0.000290006425834754        1.25232408265671 
                   2.25     0.00707070707070707      0.0386593894700523      0.0118445729511225    1.76180884278938E-10    7.83301463877798E-19     9.0054481132213E-09                       0                       0                       0                       0                       0                       0        4218.97232023982        5.22001619530252        1163.98373334275        1022.83919248222      0.0505039720361295        16936.1650068447        10121654.8901137     0.00162973007149065        1.28880845529987 
                   2.25      0.0106060606060606      0.0446053832162152      0.0136663269442548    5.72839244777142E-11    6.28218267843661E-22       3.15325349038E-09                       0                       0                       0                       0                       0                       0        4314.32765899681        5.64141063116935        1008.20509453584        803.980240383446      0.0582717162527566         16931.096368037        10344782.1644721     0.00300583802486028        1.31714110465841 
                   2.25      0.0141414141414141      0.0474196356722415      0.0145285674634932    2.22796037391562E-11    3.81757259706352E-24    1.29721909584521E-09                       0                       0                       0                       0                       0                       0        4353.20169225484        5.82345345562518        948.200874831304        696.122312708883       0.061948208448639        16930.0222663801        10443579.0696763     0.00393954299484995        1.33556296027073 
                   2.25      0.0176767676767677      0.0488619176641868      0.0149704580352871    9.75968861153481E-12    3.15969254545982E-25    5.94324306443981E-10                       0                       0                       0                       0                       0                       0        4371.66787995549         5.9188835005361        920.193664004014        637.439653158254      0.0638323739592467        16930.1811032905         10492105.192933     0.00450698791923808        1.34665081499004 
                   2.25      0.0212121212121212      0.0496512620708433       0.015212297309686     4.6224770087808E-12     7.0586718634319E-26     2.9248212164018E-10                       0                       0                       0                       0                       0                       0        4381.32468546603        5.97382111972581        905.581399755454        603.140100741072        0.06486356118255         16930.793236555        10517811.1666939     0.00484538180764388        1.35333324447527 
                   2.25      0.0247474747474747      0.0501119602141352      0.0153534489800144    2.27968025570415E-12    2.28933650424067E-26    1.49353809684693E-10                       0                       0                       0                       0                       0                       0        4386.78689874088        6.00719507550775        897.288177130025        581.430435905086      0.0654654180336408        16931.5647104967          10532389.44265     0.00505211513213504        1.35758804692328 
                   2.25      0.0282828282828283      0.0503744286518764      0.0154338699779223    1.22491015823318E-12    1.00224901579649E-26    8.25301911251368E-11                       0                       0                       0                       0                       0                       0        4389.82115356286        6.02615365654213        892.658600408921        567.353885141468      0.0658082986458146        16932.4216273268        10540444.0571826     0.00517286852510255        1.36033911907661 
                   2.25      0.0318181818181818      0.0505387543809967      0.0154842138086068    6.78883820123858E-13    4.91344142175348E-27    4.69200027546417E-11                       0                       0                       0                       0                       0                       0        4391.68683081346        6.03698192412015        889.801610378196        556.993350557795      0.0660229693042104        16933.2992355032        10545349.2159409     0.00524910050189014        1.36235409943251 
                   2.25      0.0353535353535354      0.0506437473063846      0.0155163820600947     3.8624293930342E-13    2.59718054708297E-27    2.73335803314005E-11                       0                       0                       0                       0                       0                       0        4392.86114799779        6.04214532613678        888.001788737345        548.807113610408      0.0661601325594905        16934.1665659714        10548389.9944948     0.00529777404389834        1.36393698683019 
                   2.25      0.0388888888888889      0.0507120714203618      0.0155373158980226    2.25512827976714E-13    1.45441605509476E-27    1.63125049920835E-11                       0                       0                       0                       0                       0                       0        4393.61578459872        6.04356003100168        886.850053047576        541.896574209071      0.0662493877095711        16935.0271280723        10550301.4587639      0.0053291421293933        1.36526453050528 
