 zone
   38 -6.32584E+01 -1.94068E+02
   39 -6.35418E+01 -1.95753E+02
   40 -6.37803E+01 -1.97200E+02
   41 -6.39737E+01 -1.98513E+02
   42 -6.41243E+01 -1.99578E+02
   43 -6.42291E+01 -2.00607E+02
   44 -6.42949E+01 -2.01431E+02
   45 -6.43332E+01 -2.02569E+02
   46 -6.43580E+01 -2.03937E+02
 zone
    0 -5.07526E-04 -5.12646E-04
    1 -7.58678E+00 -7.57675E+00
    2 -1.50759E+01 -1.50561E+01
    3 -2.24632E+01 -2.24357E+01
    4 -2.97168E+01 -2.97127E+01
    5 -3.62846E+01 -3.68840E+01
    6 -4.04996E+01 -4.39470E+01
    7 -4.37165E+01 -5.08987E+01
    8 -4.66571E+01 -5.77363E+01
    9 -4.93942E+01 -6.44570E+01
   10 -5.19609E+01 -7.10579E+01
   11 -5.43757E+01 -7.75362E+01
   12 -5.64667E+01 -8.38890E+01
   13 -5.86696E+01 -9.01134E+01
   14 -5.98741E+01 -9.62065E+01
   15 -5.95970E+01 -1.02165E+02
   16 -5.81396E+01 -1.07987E+02
   17 -5.13080E+01 -1.13668E+02
   18 -4.81089E+01 -1.19206E+02
   19 -4.84884E+01 -1.24597E+02
   20 -4.89680E+01 -1.29838E+02
   21 -4.95709E+01 -1.34926E+02
   22 -5.03317E+01 -1.39858E+02
   23 -5.12335E+01 -1.44628E+02
   24 -5.22276E+01 -1.49235E+02
   25 -5.32662E+01 -1.53674E+02
   26 -5.43130E+01 -1.57941E+02
   27 -5.58229E+01 -1.62031E+02
   28 -5.68072E+01 -1.65941E+02
   29 -5.77579E+01 -1.69665E+02
   30 -5.86387E+01 -1.73199E+02
   31 -5.94238E+01 -1.76537E+02
   32 -6.01138E+01 -1.79674E+02
   33 -6.07141E+01 -1.82606E+02
   34 -6.12441E+01 -1.85330E+02
   35 -6.17156E+01 -1.87834E+02
   36 -6.21362E+01 -1.90128E+02
   37 -6.25100E+01 -1.92205E+02
   38 -6.28389E+01 -1.94067E+02
   39 -6.31234E+01 -1.95752E+02
   40 -6.33631E+01 -1.97199E+02
   41 -6.35578E+01 -1.98512E+02
   42 -6.37117E+01 -1.99577E+02
   43 -6.38189E+01 -2.00606E+02
   44 -6.38879E+01 -2.01430E+02
   45 -6.39322E+01 -2.02567E+02
   46 -6.39674E+01 -2.03936E+02
 zone
    0 -5.07552E-04 -5.12672E-04
    1 -7.58673E+00 -7.57670E+00
    2 -1.50757E+01 -1.50560E+01
    3 -2.24622E+01 -2.24356E+01
    4 -2.97045E+01 -2.97125E+01
    5 -3.61287E+01 -3.68838E+01
    6 -4.02048E+01 -4.39467E+01
    7 -4.34140E+01 -5.08984E+01
    8 -4.63543E+01 -5.77359E+01
    9 -4.90912E+01 -6.44566E+01
   10 -5.16572E+01 -7.10574E+01
   11 -5.40696E+01 -7.75357E+01
   12 -5.61561E+01 -8.38884E+01
   13 -5.83438E+01 -9.01128E+01
   14 -5.95227E+01 -9.62058E+01
   15 -5.91837E+01 -1.02165E+02
   16 -5.76704E+01 -1.07986E+02
   17 -5.10038E+01 -1.13667E+02
   18 -4.78062E+01 -1.19205E+02
   19 -4.81857E+01 -1.24596E+02
   20 -4.86653E+01 -1.29837E+02
   21 -4.92682E+01 -1.34925E+02
   22 -5.00290E+01 -1.39857E+02
   23 -5.09308E+01 -1.44627E+02
   24 -5.19249E+01 -1.49234E+02
   25 -5.29634E+01 -1.53673E+02
   26 -5.40101E+01 -1.57940E+02
   27 -5.55188E+01 -1.62030E+02
   28 -5.65031E+01 -1.65940E+02
   29 -5.74535E+01 -1.69664E+02
   30 -5.83340E+01 -1.73198E+02
