VARIABLES = "X"
 "Y"
 "rho_N2"
 "rho_O2"
 "rho_NO"
 "rho_N"
 "rho_O"
 "rho_NOp"
 "rho_N2p"
 "rho_O2p"
 "rho_Np"
 "rho_Op"
 "rho_e"
 "U"
 "V"
 "T"
 "Tv"
 "rho"
 "P"
 "H"
 "tau"
 "gamma"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                   2.25                       0     0.00188782694749534        5.79763698577881    8.57448122920165E-12    1.68168159632142E-20    2.78995003100135E-06                       0                       0                       0                       0                       0                       0     1.4211252142034E-15                       0                     875                     875        5.79952812194824                 1318576             844527.6875    2.58103204942017E-06        1.26161897182465 
                   2.25     0.00353535353535354     0.00245875772240729        7.55100703706271    4.34806525077798E-15    1.57767983654625E-20    6.10218915485505E-11                       0                       0                       0                       0                       0                       0        3241.61901573111       0.260332811637691          671.6783589167        538.124511359708        7.55346608628756         1318293.0539718        5874084.62464915    7.16385927512478E-05        1.32712761083365 
                   2.25     0.00707070707070707     0.00244334554446713        7.50367577197423    1.62433621106285E-15     7.0326948566844E-20    5.44957547251505E-13                       0                       0                       0                       0                       0                       0         3241.6220703125       -1.00439634248731        675.099507941257        484.221813255197        7.50611875838926        1316701.62938208        5873771.81035168    6.98666793651083E-05        1.34157582633399 
                   2.25      0.0106060606060606     0.00227157970682514        6.97617169483887    1.46783045699052E-15    5.73606153464102E-19    1.74656898260121E-14                       0                       0                       0                       0                       0                       0         3241.6220703125       -35.8512579639909        659.428796291376        411.772193418771        6.97844283632941         1196118.3084858        5857299.21972566    8.81880884505389E-05        1.36239138402691 
                   2.25      0.0141414141414141     0.00165696453446006        5.08864791161788    1.08521586838866E-15    6.88014271319815E-20    1.58347724809395E-15                       0                       0                       0                       0                       0                       0         3241.6220703125       -198.672104970446        563.205996527699        356.258583514998        5.09030478536686        747893.605123554        5789805.59470087     0.00040560942384819        1.37762126747771 
                   2.25      0.0176767676767677     0.00108405558212502        3.32920583198994    3.71234788306918E-16    2.36364796107075E-20    2.02286074759948E-16                       0                       0                       0                       0                       0                       0         3241.6220703125       -421.455685591631        418.342955299748        329.019484550912           3.33029000084        364597.716449958        5726335.38124708     0.00559219856823078        1.38420394473247 
                   2.25      0.0212121212121212    0.000850915964023541        2.61321878674683    1.97481578802661E-16     1.7309468802648E-20     8.4935160645074E-17                       0                       0                       0                       0                       0                       0         3241.6220703125       -538.498313582008        341.793751693357        323.453783660627        2.61406978769389        232375.232552737        5710643.45459892      0.0220993665713961        1.38543442187515 
                   2.25      0.0247474747474747    0.000795120141679442        2.44186663515291    4.45847625385459E-17     1.1314467599735E-20    1.26603352181147E-17                       0                       0                       0                       0                       0                       0         3241.6220703125       -568.070314676571        324.594771399963        322.908992910396        2.44266152211023        206024.311059642        5711164.45600003      0.0324338319592332        1.38555169704006 
                   2.25      0.0282828282828283    0.000788643229913166         2.4219749896495    1.47850468092481E-17    5.88811010815833E-21     7.8802210872775E-18                       0                       0                       0                       0                       0                       0         3241.6220703125       -571.284809934332        323.015209340365        322.885035372958        2.42276398415529        203347.337034559        5711556.25150777       0.033860385894619        1.38555705547333 
                   2.25      0.0318181818181818    0.000788054725959889        2.42016784133394    1.20404345797786E-17    3.16226446160562E-21    6.33639801597978E-18                       0                       0                       0                       0                       0                       0         3241.6220703125       -571.560244277045         322.89416071317        322.884052325201        2.42095646108753        203119.392476699        5711603.66242086      0.0339798862569058        1.38555705547333 
