VARIABLES = "X"
 "Y"
 "rho_N2"
 "rho_O2"
 "rho_NO"
 "rho_N"
 "rho_O"
 "rho_NOp"
 "rho_N2p"
 "rho_O2p"
 "rho_Np"
 "rho_Op"
 "rho_e"
 "U"
 "V"
 "T"
 "Tv"
 "rho"
 "P"
 "H"
 "tau"
 "gamma"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                   2.25                       0      0.0283926928388408     0.00869903732007304    4.44366778486998E-19    3.63056301413284E-27    5.19475750165661E-16                       0                       0                       0                       0                       0                       0     2.2205089413087E-17     2.7105817190561E-21                     875                     875      0.0370917316490194        9354.89785066078              910416.375     0.00497067608123368        1.30638694763184 
                   2.25     0.00353535353535354      0.0203895713827681     0.00624701756211031    1.93009974298193E-19    6.76842399415516E-27    7.05873158113809E-17                       0                       0                       0                       0                       0                       0        2492.94723774465        2.14298352352984        1220.93965440566        869.993173878426      0.0266365885747324        9364.55070371197        4368336.64280533     0.00244407777374099         1.3072818871194 
                   2.25     0.00707070707070707      0.0305761178526684     0.00936800215291161    3.82768548263637E-19    3.73575062720867E-25     1.5960002297536E-17                       0                       0                       0                       0                       0                       0        2764.69990047584        3.31066008957815        813.312401915384        617.777004892278      0.0399441230808187        9359.83657829549        4649869.02029586      0.0146321382543991        1.35047960440058 
                   2.25      0.0106060606060606      0.0351532138362853      0.0107703450775453    7.43729164586429E-19    1.88438948809882E-23    5.56777358032843E-18                       0                       0                       0                       0                       0                       0        2844.66066728373        3.65969582142182        707.021274346241         505.79069575585      0.0459235588581569         9357.2403936572        4762145.08347428      0.0285789599910923        1.37198863105526 
                   2.25      0.0141414141414141      0.0373699157040523      0.0114495040143562    1.17832070195014E-18    1.35255681650175E-23    2.72843424116075E-18                       0                       0                       0                       0                       0                       0        2877.93419260047        3.82629878937605         664.95955012429        446.549609150572      0.0488194195863849        9356.54778624073        4813469.06868649      0.0387052812801744        1.38207936574328 
                   2.25      0.0176767676767677      0.0385276856274502      0.0118042272873516    1.59667338944967E-18    4.51111684547165E-26    1.84847806152811E-18                       0                       0                       0                       0                       0                       0        2894.00966496748         3.9236809283437        644.953213797867        413.235542260488      0.0503319114409288        9356.47851225069        4839142.30215034      0.0451434957312475        1.38693992966752 
                   2.25      0.0212121212121212      0.0391706485606685        0.01200121627762    1.95690979396229E-18    4.06876463503944E-29    1.56653774700057E-18                       0                       0                       0                       0                       0                       0        2902.53684254373         3.9873322088414        634.366068540126        393.781741911351       0.051171870486822        9356.63697634044        4852938.97547985      0.0491017000497866        1.38944106795608 
                   2.25      0.0247474747474747      0.0395497943883241      0.0121173831242962    2.27056700968692E-18    6.02776698271511E-30    1.48266840167776E-18                       0                       0                       0                       0                       0                       0         2907.4171028798        4.03256908222316        628.294713843389        381.876350071195      0.0516671784519766        9356.88759708458        4860870.84480609      0.0515703160028702        1.39083775770639 
                   2.25      0.0282828282828283      0.0397670873085754      0.0121839615941636    2.57467762480828E-18    1.37581773746258E-26    1.47818963853445E-18                       0                       0                       0                       0                       0                       0        2910.15289813566        4.06534610499828        624.881704155361        374.751381902997      0.0519510470459352         9357.1828097224        4865324.25329914      0.0530330345547263        1.39161860358151 
                   2.25      0.0318181818181818      0.0399031798156618      0.0122256553066889    2.87555947701106E-18    2.45973748622009E-24    1.51396072313506E-18                       0                       0                       0                       0                       0                       0        2911.84232100103         4.0912046649597        622.770977861683        370.044405184195      0.0521288298006206        9357.49650030367        4868076.22912562       0.053962448703052        1.39211355919177 
                   2.25      0.0353535353535354      0.0399896955095856      0.0122521616234089     3.1659713727515E-18    6.95290592443581E-23    1.59341346826583E-18                       0                       0                       0                       0                       0                       0        2912.90538246071        4.11242633098052        621.444736043836        366.802001347609      0.0522418569001573        9357.82081387945         4869810.2512774      0.0545562054197611        1.39244465626663 
                   2.25      0.0388888888888889      0.0400453832242345       0.012269224836939    3.44880927054399E-18    1.33637168087836E-22    1.71362324201536E-18                       0                       0                       0                       0                       0                       0        2913.58361859386        4.13051764743204        620.602421082455         364.45728413655      0.0523146086447857        9358.15390994532        4870919.23536194      0.0549369836137762        1.39267934206602 
                   2.25      0.0424242424242424      0.0400820727020017      0.0122804667482754    3.73097352751733E-18    6.89164944404715E-23     1.8657056113015E-18                       0                       0                       0                       0                       0                       0        2914.02614137921        4.14655079892156        620.056825722902        362.655375797917      0.0523625399749728        9358.49556166205        4871646.07811111      0.0551847533242857         1.3928566625254 
                   2.25       0.045959595959596       0.040106960591174      0.0122880920001252    4.01649006073155E-18    2.05194354679792E-24    2.04010988829281E-18                       0                       0                       0                       0                       0                       0        2914.32263383725         4.1612487534442        619.695099903486        361.183984564742      0.0523950513440693         9358.8443616054        4872136.66000486      0.0553491612944261        1.39299959848858 
                   2.25      0.0494949494949495      0.0401232039812179      0.0122930687659555    4.30720793656652E-18    1.92127563480494E-24     2.2286278255268E-18                       0                       0                       0                       0                       0                       0        2914.51239809933        4.17499224735528         619.46794411457        359.948728767602      0.0524162708092057        9359.20216139727        4872452.61315548        0.05545196518229        1.39311754334896 
                   2.25       0.053030303030303       0.040134126049842      0.0122964108369027    4.60864889723443E-18    1.34140131346186E-26    2.41864409908844E-18                       0                       0                       0                       0                       0                       0         2914.6349922552        4.18807348382197        619.323555116266        358.855238960959      0.0524305376595447        9359.56745219213        4872657.25309812       0.055516619074321        1.39322169798261 
                   2.25      0.0565656565656566      0.0401427093280908      0.0122990385375179    4.91325824752402E-18    9.07105148946624E-27    2.60497086226832E-18                       0                       0                       0                       0                       0                       0        2914.72755699869        4.20089839331072        619.215588780609        357.822668855142       0.052441750089561        9359.93750481006        4872811.64826397      0.0555644414023955        1.39331930237898 
                   2.25      0.0601010101010101      0.0401488412083329      0.0123009209636822    5.22121083257948E-18    8.93785972078787E-27    2.78407620687493E-18                       0                       0                       0                       0                       0                       0        2914.78818418111        4.21350367532277        619.145882344093        356.851763069122      0.0524497638305046         9360.3146088494        4872912.43702658      0.0555945443880625        1.39340977645116 
                   2.25      0.0636363636363636       0.040153604695886      0.0123023810284374    5.52803924456273E-18    9.21530119234087E-27     2.9550575097585E-18                       0                       0                       0                       0                       0                       0        2914.82980910544        4.22598883253162        619.097755616325        355.913999661227      0.0524559878198058        9360.69777427966        4872980.03338601      0.0556146021339079        1.39349658833965 
                   2.25      0.0671717171717172      0.0401577504560861      0.0123036509156007    5.83484204965199E-18    7.57614608359427E-27    3.12253804037494E-18                       0                       0                       0                       0                       0                       0        2914.86285377578        4.23846398958414        619.059461021325        354.990212023165      0.0524614036470544        9361.08493793169        4873032.84128504      0.0556300784437279        1.39358178574537 
                   2.25      0.0707070707070707      0.0401609958864209      0.0123046459634827    6.14535612421511E-18    5.69417815588265E-25    3.28748657700952E-18                       0                       0                       0                       0                       0                       0        2914.88320978937        4.25145917587061        619.036584179021        354.083659472677      0.0524656384163855        9361.49505751499        4873063.07020703      0.0556382679583827        1.39366416431369 
                   2.25      0.0742424242424242      0.0401641100642002      0.0123056009913618     6.4562279094042E-18    8.58383969011706E-25    3.45193497046798E-18                       0                       0                       0                       0                       0                       0        2914.90168934007        4.26454795691824        619.016003805089        353.179046567254      0.0524697010259865        9361.90927352599        4873089.98135684      0.0556453670470426        1.39374616945971 
                   2.25      0.0777777777777778      0.0401667395051202      0.0123064077069725     6.7728154177787E-18    1.67928053715693E-23    3.61876316109243E-18                       0                       0                       0                       0                       0                       0        2914.91356024221        4.27956676312634        619.005711063103        352.279089161235      0.0524731398499987        9362.36619621173        4873108.90883364      0.0556474516905361        1.39382684455539 
                   2.25      0.0813131313131313      0.0401692893586824       0.012307190086482    7.08977758129324E-18    1.83761997313056E-23     3.7856971574472E-18                       0                       0                       0                       0                       0                       0        2914.92432010153        4.29491504540818        618.997174542054        351.379076335859      0.0524764771090631        9362.83128564151        4873126.44784352      0.0556486746820607        1.39390731404705 
                   2.25      0.0848484848484848      0.0401715228689205      0.0123078742302523    7.39518850353483E-18    3.37631373378322E-23    3.94710044378172E-18                       0                       0                       0                       0                       0                       0        2914.93292549323        4.31022616220537        618.992569368776        350.477370803949      0.0524793967853113        9363.28247622915        4873142.11837812      0.0556481257541682        1.39398681289544 
                   2.25      0.0883838383838384      0.0401735570909182      0.0123084968507334    7.69395084633661E-18    3.47641984216988E-23    4.10532436741859E-18                       0                       0                       0                       0                       0                       0        2914.94027668041        4.32549256477571        618.990483221064        349.573112693547      0.0524820540067435        9363.72553426707        4873156.76671131      0.0556464371376962        1.39406578072644 
                   2.25      0.0919191919191919      0.0401754317308245      0.0123090705727962    7.98672628519592E-18    2.99526028024505E-23    4.26051257164313E-18                       0                       0                       0                       0                       0                       0        2914.94745332842        4.33879002299296        618.987757779709         348.66696215442      0.0524845035546024        9364.12168454864        4873170.33733501      0.0556453319337367        1.39414473991903 
                   2.25      0.0954545454545454      0.0401764765369034      0.0123093891881808    8.25510845000844E-18    4.83546910006928E-23    4.40336041752426E-18                       0                       0                       0                       0                       0                       0        2914.95367378258        4.34277166576281        618.982905102367        347.746787215966      0.0524858699056316         9364.2918517839        4873179.20356844      0.0556465808984625        1.39422385456637 
                   2.25       0.098989898989899      0.0401775147510037      0.0123097056583309    8.52358009060412E-18    7.10768744303216E-23    4.54625618108788E-18                       0                       0                       0                       0                       0                       0        2914.95987561554        4.34669556098193        618.978051493964        346.826365546573      0.0524872276757231        9364.46046973507        4873188.03929289      0.0556478399216382        1.39430298376152 
                   2.25       0.102525252525253      0.0401776299455234       0.012309740798537    8.77607644553906E-18    6.84397954263423E-23    4.68074327349521E-18                       0                       0                       0                       0                       0                       0        2914.96679752135        4.33717866124754        618.965144494005        345.898850247003      0.0524873769324037        9364.29199610425        4873190.10208756      0.0556548451235325        1.39438182628274 
                   2.25       0.106060606060606      0.0401765503626291      0.0123094110293943    9.01104839009836E-18     6.8225855873807E-23    4.80601145979639E-18                       0                       0                       0                       0                       0                       0        2914.97452326472         4.3105397771237         618.94212991112        344.960202923739      0.0524859610656424        9363.69182782971        4873183.44005707      0.0556691191948345        1.39446044969904 
                   2.25        0.10959595959596      0.0401754707797348      0.0123090812602516    9.24602033465766E-18    6.80119163212717E-23    4.93127964609757E-18                       0                       0                       0                       0                       0                       0         2914.9822490081        4.28390089299987        618.919115328235        344.021555600475       0.052484545198881        9363.09165955518        4873176.77802657      0.0556833932661365        1.39453907311534 
                   2.25       0.113131313131313        0.04017071740446      0.0123076251707221    9.45835252086118E-18    5.81950998997878E-23    5.04449209542512E-18                       0                       0                       0                       0                       0                       0        2914.99217610867         4.2087374911241         618.86810752262        343.087729315705       0.052478333643407        9361.21238354915        4873149.02069951      0.0557183953999283        1.39461648734125 
                   2.25       0.116666666666667      0.0401610887183663      0.0123046748698962    9.64460837744468E-18    3.85343019062562E-23    5.14382086551606E-18                       0                       0                       0                       0                       0                       0        2915.00512626033        4.06918765016294        618.780105355652        342.157958093235      0.0524657577440442        9357.63784736915        4873093.26441018      0.0557808269203253          1.394692438992 
                   2.25        0.12020202020202      0.0401514600322726      0.0123017245690704    9.83086423402819E-18    1.88735039127246E-23    5.24314963560701E-18                       0                       0                       0                       0                       0                       0        2915.01807641199        3.92963780920179        618.692103188685        341.228186870766      0.0524531818446815        9354.06331118914        4873037.50812084      0.0558432584407223        1.39476839064275 
                   2.25       0.123737373737374       0.040137434287055      0.0122974272912945    1.00089938720256E-17    2.02460529818692E-24    5.33814467653274E-18                       0                       0                       0                       0                       0                       0        2915.03423537774        3.73485462821694        618.575677980387        340.306479033712      0.0524348604800847        9349.03755187626        4872962.41541359      0.0559281067883809        1.39484341158956 
                   2.25       0.127272727272727      0.0400944889363098      0.0122842705823054    1.01405477064921E-17    1.44971183719366E-24    5.40830381530162E-18                       0                       0                       0                       0                       0                       0        2915.07135053009        3.17619378553853        618.271732615047        339.432689418545       0.052378756452221        9334.45785835063        4872759.12638602      0.0561606821047582        1.39491250991384 
                   2.25       0.130808080808081      0.0400508472491849      0.0122709005475042    1.02719569539181E-17    8.81435023440417E-25    5.47838593524656E-18                       0                       0                       0                       0                       0                       0        2915.10896505042        2.60882504275197        617.963426697029          338.5596247787      0.0523217421906842        9319.65065276614        4872552.97378261       0.056396765336748        1.39498148980543 
                   2.25       0.134343434343434        0.04000720556206       0.012257530512703     1.0403366201344E-17    3.13158209687183E-25    5.54846805519148E-18                       0                       0                       0                       0                       0                       0        2915.14657957076        2.04145629996541        617.655120779012        337.686560138855      0.0522647279291473        9304.84344718164         4872346.8211792      0.0566328485687378        1.39505046969702 
                   2.25       0.137878787878788      0.0399210214038182      0.0122311249939653    1.05075541999114E-17    7.85591092419321E-27    5.60403306501241E-18                       0                       0                       0                       0                       0                       0        2915.21879039846       0.941380656590588        617.078910315222         336.86218756199      0.0521521384704108        9276.20299587924        4871975.86347219      0.0570968155553762        1.39511499820945 
                   2.25       0.141414141414141      0.0397804950603639      0.0121880689712333    1.05809598516901E-17    5.78858847669513E-27    5.64318237180336E-18                       0                       0                       0                       0                       0                       0        2915.33522572589       -0.83963213938917        616.160227751176        336.097015309354      0.0519685577126874         9229.8941422905        4871394.82649173      0.0578527903343847         1.3951739690529 
                   2.25       0.144949494949495      0.0396399687169095      0.0121450129485014    1.06543655034688E-17    3.72126602919708E-27    5.68233167859433E-18                       0                       0                       0                       0                       0                       0        2915.45166105332       -2.62064493536892        615.241545187129        335.331843056718       0.051784976954964        9183.58528870176        4870813.78951128      0.0586087651133932        1.39523293989634 
                   2.25       0.148484848484848      0.0394994423734552      0.0121019569257694    1.07277711552474E-17    1.65394358169902E-27    5.72148098538528E-18                       0                       0                       0                       0                       0                       0        2915.56809638075       -4.40165773134866        614.322862623083        334.566670804081      0.0516013961972405        9137.27643511303        4870232.75253083      0.0593647398924017        1.39529191073979 
                   2.25       0.152020202020202      0.0392919877424616       0.012038395806897    1.07747395460466E-17    2.79316690334382E-29    5.74653033993381E-18                       0                       0                       0                       0                       0                       0        2915.74960132847       -7.05296398499274          612.9593241921        333.853131352635      0.0513303811728511        9069.39196637806        4869420.32187195       0.060572453667039        1.39534624292941 
                   2.25       0.155555555555556      0.0389766332785563      0.0119417767963209    1.07836677714173E-17    2.21158402147602E-29    5.75129157152382E-18                       0                       0                       0                       0                       0                       0        2916.03606362453       -11.1086668268373        610.877296797723          333.2194694743      0.0509184083138412        8966.71652408966        4868234.06059219      0.0625115431094401        1.39539335572383 
                   2.25       0.159090909090909      0.0386610797728422      0.0118450967988893    1.07925680933547E-17    1.64463815345447E-29     5.7560379174798E-18                       0                       0                       0                       0                       0                       0        2916.32273486589       -15.1670288166559        608.793889026005        332.585911043321      0.0505061754344012        8863.97703919996        4867047.13090847      0.0644521651526889        1.39544045797858 
                   2.25       0.162626262626263      0.0383455262671281      0.0117484168014577     1.0801468415292E-17    1.07769228543292E-29    5.76078426343577E-18                       0                       0                       0                       0                       0                       0        2916.60940610725       -19.2253908064745        606.710481254286        331.952352612342      0.0500939425549612        8761.23755431025        4865860.20122474      0.0663927871959378        1.39548756023332 
                   2.25       0.166161616161616       0.038035004400552      0.0116532785095149    1.08110741167067E-17    1.40732839825908E-30    5.76590690791567E-18                       0                       0                       0                       0                       0                       0        2916.89079535579       -23.2165313763005        604.661968466167         331.31617910382      0.0496882828119951        8660.11702204817         4864690.1683305      0.0682946661506953        1.39553492892382 
                   2.25        0.16969696969697      0.0375357172234956      0.0115003052246581    1.07482149958932E-17    6.04389006338366E-31    5.73238182027184E-18                       0                       0                       0                       0                       0                       0        2917.40820399999       -29.9773358376042        601.143034535521        330.794666358743      0.0490360220037701        8499.19415992007        4862954.78554571      0.0723841263530641        1.39557299393154 
                   2.25       0.173232323232323      0.0370198421069728      0.0113422497361329    1.06803767172063E-17    6.00578413003848E-31     5.6962011933475E-18                       0                       0                       0                       0                       0                       0        2917.94727155001       -36.9880501391655        597.489720197369        330.282109620254      0.0483620908344028        8333.02032513514        4861170.11020988      0.0766884815531102        1.39561036240279 
                   2.25       0.176767676767677        0.03650396699045      0.0111841942476078    1.06125384385193E-17     5.9676781966933E-31    5.66002056642315E-18                       0                       0                       0                       0                       0                       0        2918.48633910002       -43.9987644407268        593.836405859216        329.769552881765      0.0476881596650356        8166.84649035022        4859385.43487404      0.0809928367531562        1.39564773087405 
                   2.25        0.18030303030303      0.0359880918739272      0.0110261387590826    1.05447001598323E-17    5.92957226334811E-31    5.62383993949881E-18                       0                       0                       0                       0                       0                       0        2919.02540665003       -51.0094787422881        590.183091521064        329.256996143276      0.0470142284956683         8000.6726555653         4857600.7595382      0.0852971919532022         1.3956850993453 
                   2.25       0.183838383838384      0.0354784854393524      0.0108700038016914    1.04779974081855E-17    4.98647690010706E-31     5.5882649175263E-18                       0                       0                       0                       0                       0                       0        2919.55583370623       -57.9226159720742        586.583115515189        328.741698974425      0.0463484867279791        7836.48243373707        4855834.59296597      0.0895105435936956         1.3957226577464 
                   2.25       0.187373737373737      0.0348157457603903      0.0106669519602033    1.03304418670044E-17    1.25531505037929E-30    5.50956867232646E-18                       0                       0                       0                       0                       0                       0        2920.38076207098       -67.8584086431545        581.275070772965        328.340179387001      0.0454826962287044        7626.21696535297        4853776.25713642      0.0988244557344112        1.39575110130197 
                   2.25       0.190909090909091      0.0341475769424548      0.0104622365450793    1.01816855584751E-17    2.29819225463456E-30    5.43023217599669E-18                       0                       0                       0                       0                       0                       0        2921.21735374733       -77.9123644409477        575.899709365106          327.9420108711      0.0446098130168206        7414.34872907132        4851709.94253036       0.108393839283723        1.39577924762494 
                   2.25       0.194444444444444      0.0334794081245193      0.0102575211299554    1.00329292499459E-17    3.34106945888985E-30    5.35089567966692E-18                       0                       0                       0                       0                       0                       0        2922.05394542369        -87.966320238741        570.524347957248        327.543842355199      0.0437369298049367        7202.48049278966         4849643.6279243       0.117963222833034        1.39580739394791 
                   2.25       0.197979797979798      0.0328112393065838      0.0100528057148314     9.8841729414167E-18    4.38394666314512E-30    5.27155918333714E-18                       0                       0                       0                       0                       0                       0        2922.89053710004       -98.0202760365341        565.148986549389        327.145673839298      0.0428640465930529          6990.612256508        4847577.31331823       0.127532606382345        1.39583554027089 
                   2.25       0.201515151515152      0.0321438327765058     0.00984832387670535     9.7355852287502E-18    5.38663806818796E-30    5.19231258259937E-18                       0                       0                       0                       0                       0                       0        2923.72549116851       -108.057640931583        559.783076856999        326.747034810275      0.0419921592460244        6778.96905968704         4845512.1189864       0.137066120016804        1.39586372832733 
                   2.25       0.205050505050505      0.0314484812664095     0.00963528014881318    9.55677576644233E-18    5.08744985167438E-22    5.09694750660648E-18                       0                       0                       0                       0                       0                       0        2924.70165901404       -119.390807553008        553.622757127439        326.405862845441      0.0410837644070715        6561.16506192258        4843571.59227553        0.15363392452824        1.39588773295911 
                   2.25       0.208585858585859       0.030715146822044     0.00941059884066129    9.34861653482192E-18    1.46971819850228E-21    4.98592922195417E-18                       0                       0                       0                       0                       0                       0        2925.84231821707       -132.250727187778        546.535516637306         326.12678327328      0.0401257486429428         6334.2928655627        4841749.37602921       0.178192284584735        1.39590710715227 
                   2.25       0.212121212121212      0.0299814064800715     0.00918579317505964    9.14040189176696E-18    2.43069141179829E-21    4.87488138041159E-18                       0                       0                       0                       0                       0                       0        2926.98472458603       -145.126728063782        539.438529000694         325.84819052577      0.0391672026353687        6107.32433156956         4839928.7493995       0.202861024545867        1.39592644344603 
                   2.25       0.215656565656566       0.029247666138099     0.00896098750945799      8.932187248712E-18    3.39166462509428E-21    4.76383353886901E-18                       0                       0                       0                       0                       0                       0        2928.12713095498       -158.002728939786        532.341541364081         325.56959777826      0.0382086566277945        5880.35579757643        4838108.12276978       0.227529764506999        1.39594577973978 
                   2.25       0.219191919191919      0.0285139257961265     0.00873618184385634    8.72397260565703E-18    4.35263783839029E-21    4.65278569732643E-18                       0                       0                       0                       0                       0                       0        2929.26953732393        -170.87872981579        525.244553727469        325.291005030749      0.0372501106202204        5653.38726358329        4836287.49614007       0.252198504468131        1.39596511603354 
                   2.25       0.222727272727273      0.0277806499963147       0.008511518503012    8.51582137994449E-18    5.31361105173075E-21    4.54177168308766E-18                       0                       0                       0                       0                       0                       0        2930.40994409442       -183.736326014307        518.158721516284        325.011855121602      0.0362921714662753         5426.5289861956        4834465.05022411       0.276740916708893        1.39598449570246 
                   2.25       0.226262626262626      0.0270685015107803     0.00829332831555476     8.2987361564388E-18    5.81188690217443E-21    4.42599286534299E-18                       0                       0                       0                       0                       0                       0         2931.6473879526       -197.267860025156        510.558113538898        324.782077013283      0.0353618325960389         5209.9452361916        4833037.71715183       0.323778778860571        1.39600039823518 
                   2.25        0.22979797979798       0.026375045867617     0.00808086546727794    8.07187591689876E-18    5.81188690217443E-21    4.30500065690054E-18                       0                       0                       0                       0                       0                       0        2933.02470581506       -211.826531854544        502.208824568347        324.616485714454      0.0344559134359793        5004.02776102235        4832105.27486952       0.400608690674344        1.39601169920697 
                   2.25       0.233333333333333      0.0256818748453997     0.00786848982747373    7.84514653409445E-18    5.81188690217443E-21    4.18407824103085E-18                       0                       0                       0                       0                       0                       0        2934.40491568224        -226.40625181041        493.844098626294        324.451967393766      0.0335503660076513        4798.30778894791        4831184.02092379       0.478387534036109        1.39602291681916 
