VARIABLES = "X"
 "Y"
 "rho_N2"
 "rho_O2"
 "rho_NO"
 "rho_N"
 "rho_O"
 "rho_NOp"
 "rho_N2p"
 "rho_O2p"
 "rho_Np"
 "rho_Op"
 "rho_e"
 "U"
 "V"
 "T"
 "Tv"
 "rho"
 "P"
 "H"
 "tau"
 "gamma"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                   2.25                       0     0.00182838616825297    0.000561509479095839    3.99483143835707E-16    3.61452481348887E-18     2.1533888841206E-16                       0                       0                       0                       0   -3.00926589683746E-36                       0    2.22043059093164E-17    8.99967837673716E-23                     875                     875     0.00238989584525552         602.72225319565              910379.875      0.0790169760933032        1.30645596981049 
                   2.25     0.00353535353535354    0.000939901047943405    0.000288649803730101    1.48276777354076E-16    1.01352066161754E-19    7.82050936285727E-17    1.08133389788428E-18    3.40865643769445E-23    2.18367922655854E-19    6.76210239504909E-26    1.42370966873727E-18     1.4586987144743E-23        1034.65218631824      -0.397110425327471        1702.44109691533        861.171004745192     0.00122855117744834        602.771330197109         2280129.8648852      0.0099916316640048         1.3084026883816 
                   2.25     0.00707070707070707    0.000887703965808634    0.000272619722523598    9.68129945457829E-17    2.39935068868469E-20      5.045603851061E-17    1.53094842423815E-18    5.28293368150134E-23    1.71163694615891E-19    1.82964467318923E-30    1.27572579343387E-18     1.4533505144836E-23        1809.97157382479        1.49730010149522        1802.55077371361        822.450720959573     0.00116032390120281        602.830180998263        3483221.06137261     0.00806289094578317        1.31412918600323 
                   2.25      0.0106060606060606    0.000954675426667556    0.000293187089638101    7.12108436758421E-17    2.43159639165417E-20    3.57903740946559E-17    2.16762179830437E-18    2.80021005189897E-23    1.66541751126854E-19    1.38967553129285E-29    1.40447088781174E-18    7.30364457169343E-24         2351.2505617255        4.06303821540868         1677.0762466169        750.486589144326     0.00124786249671823        602.982629424046        4478018.48334405      0.0106190056315813        1.32584883476097 
                   2.25      0.0141414141414141     0.00111691095597591    0.000343010586414043    5.51673296805689E-17    4.27266915198475E-20    2.57508421742174E-17    3.13317715501555E-18     6.2209562076635E-24    1.77719064143879E-19    1.08913729403096E-25     1.7951380400834E-18     1.5449482224796E-24        2677.30872394351        6.34385128263117        1436.37011875316        656.901823550811      0.0014599209964542        603.621665365946         5047715.4076489      0.0197174396189501        1.34291147757993 
                   2.25      0.0176767676767677     0.00135910729307507    0.000417390873681601    4.42624029340098E-17    6.94394237025687E-20    1.86449856312954E-17     4.3631107153195E-18    7.80617048883256E-25     1.9102267388592E-19    3.48250612015393E-22    2.32684522084428E-18    1.45125424991014E-25        2864.75654588791        8.48531429002384        1183.08896264916        577.777770555359     0.00177649845934882        604.359511723114        5306138.05205462      0.0445379691608818        1.35826725809521 
                   2.25      0.0212121212121212     0.00160920162575843    0.000494196420861739      3.653242370786E-17    7.85076237685689E-20    1.37767901156179E-17     5.3562545037803E-18    4.72308248982161E-26    1.86617988676438E-19    1.21830296604357E-21    2.60970333864436E-18    2.58396256545732E-25        2975.01160873854        10.2871313805428        998.147736892196        521.008220560322     0.00210339788239319        604.116971099799        5437878.86507957      0.0916101047412503        1.36914942653377 
                   2.25      0.0247474747474747     0.00180734859456786     0.00055504862113871    3.09173838875282E-17    7.37928108155903E-20    1.04738175748828E-17     6.0143759100227E-18    8.51744180453475E-28    1.60470635192264E-19    1.16940243942481E-21    2.66467184723486E-18    6.69163604498387E-25         3044.0499703784           11.4506191245        886.813394902283        479.866227158877     0.00236239682064027        603.698022240256        5531099.67633165       0.152001899771897        1.37658527773422 
                   2.25      0.0282828282828283     0.00194965967774642     0.00059875342442969    2.71352396932236E-17    6.23115347049005E-20    8.36025467107088E-18    6.41104225015552E-18    1.16673741503502E-29    1.24429436015349E-19     5.8262661249133E-22    2.64227912987248E-18    9.10402303829816E-25        3086.78701022357        12.1325478019088        821.997262297255        449.923231087743     0.00254841384641457        603.484031552387        5595648.04050416        0.21609716262895        1.38151872233029 
                   2.25      0.0318181818181818     0.00205482585360302    0.000631050550387062    2.45569630520039E-17    5.15486499590543E-20    6.93706377949813E-18    6.66877564860642E-18     6.9187338617974E-31    9.62764174957001E-20    8.72563885824252E-22    2.62788638935935E-18    9.72260780844061E-25        3115.60755695288        12.5918160004279        779.731647489003        425.964960778586     0.00268587647685146        603.387697538462        5641682.51222964       0.276371744359619        1.38512375942769 
